,Unnamed: 0,source,text,type,category,label,English,text_size,subject,contains_name
0,67, Virginel Iordache,"„[...] bugetele instituțiilor de forță au crescut considerabil. Astfel, creditele bugetare ale SRI, SIE, STS și SPP, au fost majorate cumulat cu aproape 165 milioane lei. SRI și STS au primit cei mai mulți bani, creditele lor bugetare au fost majorate cu 64,348 milioane lei, respectiv 64,518 milioane lei și asta după alte majorări făcute în aprilie de 13,198 mil. lei și 27,54 mil. lei ”", DECLARAȚII Electoral,Adevărat,0,"""[...] the budgets of law enforcement agencies have increased considerably. Thus, the budgetary credits of SRI, SIE, STS and SPP, were increased cumulatively by almost 165 million lei. SRI and STS received the most money, their budget credits were increased by 64.348 million lei, respectively 64.518 million lei and this after other increases made in April of 13.198 million lei and 27.54 million lei "" ",big,Politica,yes
1,34, Raluca Turcan,"„Guvernul a alocat 175 de milioane de euro din fonduri europene pentru achiziția de tablete, dezinfectanți, măști și chiar containere ecologice acolo unde nu există apă curentă sau toalete în școli.”", DECLARAȚII Educatie,Adevărat,0,"""The government has allocated 175 million euros from European funds for the purchase of tablets, disinfectants, masks and even environmentally friendly containers where there is no running water or toilets in schools."" ",small,Social,yes
2,584, Klaus Iohannis,"Sistemul educaţional trebuie să aibă capacitatea de a face o diferenţă reală în nivelul de cunoştinţe ale copiilor, nu doar să bifeze un număr de ani petrecuţi pe băncile şcolii. Aceasta este o lecţie care se aplică şi României, în condiţiile în care un studiu din 2016 ne avertizează că ne confruntăm cu o rată de analfabetism funcţional de 42 de procente care se reflectă foarte vizibil şi în înaltele sfere ale politicii româneşti. Continuăm să ne îndepărtăm de obiectivul Europa 2020, sau 20-20 cum se spune mai nou, în domeniul părăsirii timpurii a școlii, cu o cifră de peste 18%.", DECLARAȚII Educatie,Adevărat,0,"The education system must have the ability to make a real difference in the level of knowledge of children, not just tick a number of years spent on school benches. This is a lesson that also applies to Romania, given that a 2016 study warns us that we face a functional illiteracy rate of 42 percent that is very visibly reflected in the high spheres of Romanian politics. We continue to move away from the Europe 2020 target, or 20-20 as it is said more recently, in the field of early school leaving, with a figure of over 18%. ",big,Social,yes
3,189, Ludovic Orban,"„Din 2008, de când am plecat din fruntea Ministerului Transporturilor, nu s-a construit un milimetru de autostradă între Pitești și Sibiu. Nu s-a mișcat nimic pentru o perioadă de aproape 12 ani.”", DECLARAȚII Transport,Adevărat,0,"""Since 2008, when I left the head of the Ministry of Transport, not a millimeter of highway has been built between Pitești and Sibiu. Nothing has moved for almost 12 years. ” ",small,Economie,yes
4,675, Ludovic Orban,Nivelul de investiții publice este cel mai mic din ultimii 10 ani, DECLARAȚII Economie,Adevărat,0,The level of public investment is the lowest in the last 10 years ,small,Economie,no
5,551, Victor Ponta,"România este ţara din UE care se împrumută cel mai scump. Mai scump şi decât Grecia. Am văzut acum datele de la începutul lunii august, este prima dată când Grecia nu mai este ţara care se împrumută cel mai scump, ci România este. ", DECLARAȚII Finante,Adevărat,0,"Romania is the EU country that borrows the most. More expensive than Greece. We have now seen the data from the beginning of August, it is the first time that Greece is no longer the country that borrows the most, but Romania is. ",big,Economie,no
6,136, Călin Popescu Tăriceanu,„Problema guvernanților este că evidența persoanelor care sunt îndreptățite să primească aceste măști [destinate persoanelor defavorizate] este în mâinile primarilor.”, DECLARAȚII Coronavirus,Adevărat,0,"""The problem with the rulers is that the records of people who are entitled to receive these masks [for disadvantaged people] are in the hands of mayors."" ",small,Coronavirus,yes
7,638, Paul Stănescu,E o acţiune in rem în care tot ce se spune acolo este vorba despre primăria municipiului Slatina. Eu în acea perioadă am fost preşedintele Consiliului Judeţean. Absolut nicio acţiune de acolo nu are legătură cu Consiliul Judeţean., DECLARAȚII Justitie,Adevărat,0,It is an action in rem in which everything that is said there is about the town hall of Slatina. At that time I was the president of the County Council. Absolutely no action there has anything to do with the County Council. ,big,Justitie,yes
8,59, Vlad Alexandrescu,„România este pe primul loc în topul investigațiilor privind fraudele cu fonduri europene deschise anul trecut de OLAF.”, DECLARAȚII Justitie,Adevărat,0,"""Romania is on the first place in the top of the investigations regarding the frauds with European funds opened last year by OLAF."" ",small,Justitie,yes
9,573, Victor Ponta,"În tot anul 2015, Guvernul “Ponta” a emis 52 de ordonanțe de urgență (deși avea o majoritate fragilă și un Președinte ostil) / până la sfârșitul lunii Iunie, Guvernul “Dăncilă - Dragnea” a emis deja 57 - și evident continuă în zilele și săptămânile următoare.", DECLARAȚII Politica,Adevărat,0,"Throughout 2015, the “Ponta” Government issued 52 emergency ordinances (although it had a fragile majority and a hostile President) / by the end of June, the “Dăncilă - Dragnea” Government has already issued 57 - and obviously continues in the days and the following weeks. ",big,Politica,yes
