,text,label
0,"""I’ve released 22 years of my tax returns. You can go online and look. (Donald Trump) hasn’t released one.”",0
1,"Farm bankruptcies are ""at an eight-year high.""",0
2,"Says Dan Forest has “missed almost half of the Board of Education meetings during the pandemic.""",0
3,My 2018 election was the first time Speaker Robin Vos has lost a Republican-held seat,0
4,Joe Biden “wants to get rid of something called ‘stepped up basis’” that reduces inheritance taxes.,0
5,"“While serving as Town Supervisor, Nate McMurray voted to raise taxes on homeowners.”",0
6,"Says the “The Rio Grande Valley is 4.7% of the entire state population, but it represents 17% of the (coronavirus) deaths of our state.""",0
7,"Georgia has “almost 100,000 more (COVID-19) cases, almost twice as many deaths and almost 600 more nursing home deaths than North Carolina.”",0
8,“West Virginia has one of the greatest percentages of veterans in any state.”,0
9,“Wisconsin Republicans have not passed a single bill in 6 months.”,0
10,The president's own FBI director said that the greatest domestic terrorist threat is white supremacists.,0
11,"“That 5% (wealth tax) starts at $159,000 per family.”",0
12,“In the last 10 years less than half of adults in the U.S. received a flu shot.”,0
13,“(Republicans) have the power to overturn the (state of emergency) order by joint resolution and they refuse to do it.”,0
14,"“Over three months after receiving CARES Act relief funds from the state, the county has still not made those dollars available to help struggling Mid-Missourians.”",0
15,“Iran has stockpiled 10 times as much enriched uranium as it had” in 2016.,0
16,Abigail Spanberger “has voted with Nancy Pelosi over 90% of the time…”,0
17,Nick Freitas “supports a plan letting insurance companies deny coverage for preexisting conditions like asthma or diabetes.”,0
18,“Video showed police thank (Kyle Rittenhouse) & give him water prior to the killings”,0
19,"Police are ""20.8 times more likely to kill than be killed by a criminal.""",0
20,"“In one of the states that determined the outcome” of the 2016 presidential race, “the winning margin averaged out to just two votes per precinct, two votes.”",0
21,"Cal Cunningham ""voted for over $1 billion in new taxes.”",0
22,Says the U.S. Senate is “dominated by millionaires” and that he is “not one of them.”,0
23,"""The GOP lawyer who helped Kanye West get on the ballot in Wisconsin is actively working for Donald Trump's campaign.""",0
24,"Says 1 in 5 Texans did not have health insurance coverage before the pandemic, and now “nearly 1 in 3 Texans under the age of 65 don’t have access to health care insurance.”",0
25,"On home health workers’ low pay and limited benefits, “40% are still on SNAP or Medicaid.”",0
26,“Murders this year have spiked 27% in Philadelphia.”,0
27,"“Taxpayers spent $70,000,000 to develop this drug ( remdesivir).""",0
28,"""The average family in America forks over more of their hard-earned income to their local hospital than to the IRS.”",0
29,"“Homicides are intraracial. When you look at white-on-white crime, it's 84%. Right? Homicides. White people kill white people.”",0
