,Unnamed: 0,Unnamed: 0.1,author,text,category,label,first_validation_par,last_validation_par,validation_resources,validation_content
0,134,134, RareÈ™ Bogdan,„Am câştigat cele mai mari judeţe din România.”, DECLARAÈšII Electoral,0,"Conform statisticilor publicate de Institutului Național de Statistică privind populația în funcție de domiciliu la 1 ianuarie 2020, județele cu cel mai mare număr de locuitori sunt următoarele:","Doar consiliile județene din Dolj, Bacău și Argeș au fost câștigate de PSD, conform hărții președinților de consilii județene făcută de romania.europalibera.org.","http://statistici.insse.ro:8077/tempo-online/#/pages/tables/insse-table

https://romania.europalibera.org/a/rezultate-alegeri-locale-presedinti-consilii-judetene-romania/30852050.html","Conform statisticilor publicate de Institutului Național de Statistică privind populația în funcție de domiciliu la 1 ianuarie 2020, județele cu cel mai mare număr de locuitori sunt următoarele:

Doar consiliile județene din Dolj, Bacău și Argeș au fost câștigate de PSD, conform hărții președinților de consilii județene făcută de romania.europalibera.org."
1,418,418, Viorica DÄƒncilÄƒ,"„Cum explicați protocolul pe care l-ați semnat cu Adrian Năstase între 2000-2004? Cum explicați că în 2009 ați vrut să fiți premier din partea PSD? Să înțelegem că avantajul personal este mai important decât avantajul național? Că nu contează PSD, PNL, ci cine vă oferă un confort?”", DECLARAÈšII Prezidentiale,0,"În urmă cu câteva zile, fostul premier Adrian Năstase a scris, pe blogul său, un text intitulat „Despre ipocrizie. Cazul Iohannis” în care acesta compară criticile actuale făcute de Iohannis la adresa PSD şi relaţiile cu social-democraţii de-a lungul timpului. ","„În octombrie 2009, după căderea Guvernului Boc, am fost propus de PSD, PC, UDMR, PNL și minorități pentru postul de premier. Scopul era să formez un guvern tehnocrat, care să gestioneze problemele economice ale momentului și să asigure organizarea de alegeri prezidențiale. Președintele Traian Basescu l-a preferat, în schimb, pe Lucian Croitoru, consilierul guvernatorului BNR”.","https://adriannastase.ro/2019/11/16/despre-ipocrizie-cazul-iohannis/

https://adevarul.ro/news/politica/adrian-nastase-viorica-dancila-aliaza-iohannis-un-profitor-1_5dd036e45163ec427116311e/index.html

https://www.cotidianul.ro/wp-content/uploads/2018/11/12/3.-Anexa-13_FDGR-PSD-protocol-fdgr-psd.hk0f2gorcw.pdf

http://www.ziare.com/basescu/stiri-traian-basescu/a-cazut-guvernul-boc-motiunea-a-trecut-917123

https://www.mediafax.ro/politic/iohannis-am-acceptat-propunerea-de-a-fi-nominalizat-ca-premier-4988720

http://www.ziare.com/klaus-johannis/presedinte/cum-a-reactionat-iohannis-dupa-ce-basescu-l-a-refuzat-1334472

http://www.ziare.com/basescu/stiri-traian-basescu/a-cazut-guvernul-boc-motiunea-a-trecut-917123","În urmă cu câteva zile, fostul premier Adrian Năstase a scris, pe blogul său, un text intitulat „Despre ipocrizie. Cazul Iohannis” în care acesta compară criticile actuale făcute de Iohannis la adresa PSD şi relaţiile cu social-democraţii de-a lungul timpului. 

Adrian Năstase scrie despre protocolul încheiat de PSD cu Forumul Democrat al Germanilor,  că acesta a fost dorinţa expresă a lui Iohannis, pe atunci primar, care nu avea majoritatea în Consiliul Local Sibiu, de proiectele realizate în contextul pregătirilor pentru Sibiu – Capitală Culturală Europeană, cu sprijinul Guvernului PSD, de finanţarea parcului industrial de la Sibiu,  de începerea lucrărilor la centrul Sibiului şi finanţarea celui mai mare complex financiar-bancar din ţară.

A fost practic un protocol încheiat între FDGR și PSD. Îl regăsiți în întregime AICI și a fost semnat în 13 iunie 2002. 

Da. Actualul președinte al României, Klaus Iohannis, a acceptat, în 2009, după căderea Guvernului Boc, propunerea de a fi nominalizat pentru postul de premier din partea PNL-PSD-PC-UDMR şi a grupului minorităţilor naţionale.

Se întâmpla în luna octombrie.

„Am avut o discuţie foarte bună cu reprezentanţii PNL-PSD-UDMR-PC şi ai grupului minorităţilor naţionale. Aceste formaţiuni au hotărât să-mi propună o posibilă nominalizare pentru funcţia de prim-ministru al României şi am acceptat-o”, a spus Klaus Iohannis.

Klaus Iohannis nu a ajuns, însă, premier, fiind refuzat de președintele de la acea vreme, Traian Băsescu. Într-una dintre cărțile sale bibliografice, volumul „Pas cu pas”, Iohannis povestește: 

„În octombrie 2009, după căderea Guvernului Boc, am fost propus de PSD, PC, UDMR, PNL și minorități pentru postul de premier. Scopul era să formez un guvern tehnocrat, care să gestioneze problemele economice ale momentului și să asigure organizarea de alegeri prezidențiale. Președintele Traian Basescu l-a preferat, în schimb, pe Lucian Croitoru, consilierul guvernatorului BNR”."
2,182,182, Ludovic Orban,"„Minciuna gogonată privitoare la salariul net, că a scăzut salariul net. Păi depinde cum compari; dacă compari mere cu pere, niciodată nu se face comparație - o lună din an raportată la luna decembrie.(...)Calculul se face lună la lună; luna iunie a anului 2020 raportat la luna iunie a anului 2019. Dacă facem această comparație - și este foarte important pentru oameni să știe - în România salariul mediu net în iunie 2020 este de 3.298 de lei, iar în iunie 2019, când era la putere PSD, în creștere economică, fără pandemie, fără criză economică, an în care practic a fost o conjunctură economică extrem de favorabilă, salariul mediu net în iunie 2019 era 3.142.” ", DECLARAÈšII Munca,0, ,"În rapoartele Institutului Național de Statistică vedem că în fiecare lună, creșterea sau scăderea câştigului salarial mediu este prezentată în comparație cu luna precedentă sau cu aceeaşi perioadă a anului precedent.","https://insse.ro/cms/ro/tags/comunicat-castig-salarial

https://infogram.com/castigul-salarial-mediu-net-pe-economie-2015-2019-1h9j6qz199wv6gz?live

https://insse.ro/cms/sites/default/files/com_presa/com_pdf/cs12r19.pdf

https://insse.ro/cms/sites/default/files/com_presa/com_pdf/cs01r20.pdf

https://insse.ro/cms/sites/default/files/com_presa/com_pdf/cs02r20.pdf

https://insse.ro/cms/sites/default/files/com_presa/com_pdf/cs03r20.pdf

https://insse.ro/cms/sites/default/files/com_presa/com_pdf/cs04r20.pdf

https://insse.ro/cms/sites/default/files/com_presa/com_pdf/cs05r20.pdf

https://insse.ro/cms/sites/default/files/com_presa/com_pdf/cs06r20_0.pdf

https://insse.ro/cms/sites/default/files/com_presa/com_pdf/cs06r19.pdf

https://insse.ro/cms/sites/default/files/com_presa/com_pdf/cs06r20_0.pdf"," 

Institutul Național de Statistică transmite lunar comunicate cu privire la câştigul salarial mediu, brut și net. Am ales să ne uităm la valorile salariului mediu net înregistrat pe fiecare lună a ultimilor cinci ani, adică între 2015 și 2019: 

 



Reiese că în perioada 2015- 2019, în decembrie salariu mediu net a avut cea mai mare valoare. 

 

 

Potrivit Institutul Național de Statistică, așa arată comunicate transmise pentru perioada decembrie 2019 – iunie 2020:

 

 

În iunie 2019, câştigul salarial mediu nominal net a fost de 3.142 lei, în creștere față de luna precedentă cu 41 lei (+1,3%).

În iunie 2020, câştigul salarial mediu nominal net a fost 3.298 lei, în creștere față de luna precedentă cu 119 lei (+3,7%).

Avem între cele două sume o diferență de 156 lei, câştigul salarial mediu net din luna iunie a anului 2020 fiind mai mare cu 4,96% decât cel din luna iunie a anului 2019. 

În rapoartele Institutului Național de Statistică vedem că în fiecare lună, creșterea sau scăderea câştigului salarial mediu este prezentată în comparație cu luna precedentă sau cu aceeaşi perioadă a anului precedent."
3,279,279, Cristina PrunÄƒ,"„În prezent, 10% din orice ban câștigăm se duce la stat pentru sistemul de sănătate. Un angajat pe salariu minim plătește în fiecare lună 223 lei pentru sănătate.”", DECLARAÈšII Finante,0,"Potrivit Ministerului Finanțelor Publice, contribuțiile de asigurări sociale de sănătate pe care le datorează o persoană angajată  reprezintă 10% din salariul brut al acesteia.","Așadar, o persoană care primește salariul minim de 2.230 lei brut, va contribui cu 10% la fondul de asigurări sociale de sănătate, adică cu 223 lei.","https://www.mfinante.gov.ro/detalii.html?method=searchAnaf&pagina=taxe&den=CONTRIBUTII%20DE%20ASIGURARI%20SOCIALE%20DE%20SANATATE

http://legislatie.just.ro/Public/DetaliiDocumentAfis/220979

https://www.factual.ro/wp-content/uploads/2020/05/salar.jpg

http://legislatie.just.ro/Public/DetaliiDocumentAfis/216297","Potrivit Ministerului Finanțelor Publice, contribuțiile de asigurări sociale de sănătate pe care le datorează o persoană angajată  reprezintă 10% din salariul brut al acesteia.

 

Prin Hotărârea de Guvern nr 935/2019, salariul de bază minim brut pe țară a fost stabilit, de la 1 ianuarie 2020, la 2.230 lei lunar, pentru un program normal de lucru în medie de 167,3 ore pe lună:



„Articolul 1

(1) Începând cu data de 1 ianuarie 2020, salariul de bază minim brut pe țară garantat în plată, prevăzut la art. 164 alin. (1) din Legea nr. 53/2003 – Codul muncii, republicată, cu modificările și completările ulterioare, se stabilește în bani, fără a include sporuri și alte adaosuri, la suma de 2.230 lei lunar, pentru un program normal de lucru în medie de 167,333 ore pe lună, reprezentând 13,327 lei/oră.”

 

Așadar, o persoană care primește salariul minim de 2.230 lei brut, va contribui cu 10% la fondul de asigurări sociale de sănătate, adică cu 223 lei."
4,478,478, Antoneta IoniÈ›Äƒ,„România(...) oferă elevilor români prin programul “Cornul și Laptele” și programul “Fructe și Legume în școli” doar 2 lei/zi pentru un elev.”, DECLARAÈšII Educatie,0,"Produsele de panificație au fost introduse în școli încă din 2002, iar din 2010 s-a încercat și implementarea unui program de încurajare a consumului de fructe proaspete. ",(6) Prevederile alin. (1)-(5) se aplică și pentru perioada 2018-2023.”,"http://legislatie.just.ro/Public/DetaliiDocumentAfis/38119#id_artA12

http://legislatie.just.ro/Public/DetaliiDocumentAfis/117551

https://www.madr.ro/docs/agricultura/program-scoli-2018/OG_13_2017-modificata.pdf

https://www.madr.ro/programul-pentru-scoli/legislatie.html

http://gov.ro/ro/guvernul/procesul-legislativ/note-de-fundamentare/nota-de-fundamentare-hg-nr-640-07-09-2017&page=4

http://legislatie.just.ro/Public/DetaliiDocument/193180

http://legislatie.just.ro/Public/DetaliiDocumentAfis/203057

http://legislatie.just.ro/Public/DetaliiDocumentAfis/193180","Produsele de panificație au fost introduse în școli încă din 2002, iar din 2010 s-a încercat și implementarea unui program de încurajare a consumului de fructe proaspete. 

Din 2017, participăm la Programul pentru Școli al Uniunii Europene, astfel că am avut două programe: „Cornul și Laptele” și „Fructe și Legume în școli”. 

Programul actual a fost semnat pentru perioada 2017-2023 și a fost aprobată o sumă standard pentru fiecare elev, pe zi.

Articolul 3 din Hotărârea nr. 640/2017 spune că:

(1) Pentru anul școlar 2017-2018, limita valorică zilnică/preșcolar/elev este după cum urmează:

Asta înseamnă un total de 2,05 lei/zi/elev. 

Potrivit Hotărârii nr. 533/2018 privind stabilirea bugetului pentru implementarea Programului pentru școli al României în perioada 2017-2023 pentru anul școlar 2018-2019, sumele au rămas neschimbate.

„La articolul 3, după alineatul (5) se introduce un nou alineat, alineatul (6), cu următorul cuprins:

(6) Prevederile alin. (1)-(5) se aplică și pentru perioada 2018-2023.”"
5,31,31, Anca Dragu,"„Diferenţa de venituri dintre femei şi bărbaţi este cea mai mică în România în comparaţie cu toate ţările europene, de numai 3%. Deci, bărbaţii sunt plătiţi cu 3% mai bine decât femeile. Media europeană, tot aşa, este undeva pe la vreo 14-15%” ", DECLARAÈšII Social,0,"Cel mai recent raport european pe tema diferențelor de venituri dintre femei și bărbați, publicat de Eurostat (biroul de statistică al UE) arată că media obținută de angajații de sex masculin este cu 14,8% mai mare în Europa, față de angajații de sex feminin. ",,https://ec.europa.eu/eurostat/statistics-explained/index.php/Gender_pay_gap_statistics,"Cel mai recent raport european pe tema diferențelor de venituri dintre femei și bărbați, publicat de Eurostat (biroul de statistică al UE) arată că media obținută de angajații de sex masculin este cu 14,8% mai mare în Europa, față de angajații de sex feminin. 

Datele confirmă că România plătește femeile cu o diferență de 3% în minus față de bărbați, în timp ce Estonia este țara cea mai discriminatorie din UE, cu o diferență de 22,7%.

"
6,360,360, Siegfried MureÈ™an,"„Bucureștiul este cel mai aglomerat oraș din Uniunea Europeană. Este singurul oraș din UE cu un nivel al congestiei traficului de peste 50% (52%, mai exact, în 2019, în creștere cu 4 procente față de 2018).”", DECLARAÈšII Transport,0,"Site-ul TomTomTraffic analizează traficul din 57 de țări și 416 orașe și oferă informații despre blocajele din trafic și întârzieri preconizate pe un traseu planificat. Conform proprietarilor, este o aplicație la care sunt conectate peste 600 de milioane de dispozitive. ","TomTomTraffic prezintă datele și într-o variantă detaliată. De exemplu, arată care sunt orele de vârf ale orașului, cât timp petrec oamenii în trafic, care a fost cea mai aglomerată sau cea mai liberă zi din an pe șosele etc. ","https://www.tomtom.com/en_gb/traffic-index/about/

https://www.tomtom.com/company/press-releases/news/25596/

https://www.tomtom.com/company/management-board/harold-goddijn/

https://www.referenceforbusiness.com/history2/90/TomTom-N-V.html

https://www.tomtom.com/en_gb/traffic-index/ranking/?fbclid=IwAR0e6rAg-E5ltAdrK1VrMmFHrgdFjt5ns-SzYP0m60e_RMIMse-0KZ3N2QM

https://www.tomtom.com/en_gb/traffic-index/ranking/?country=BE,BG,CZ,DK,EE,FR,DE,GR,HU,IS,IE,IT,LV,LT,LU,PL,PT,RO,SK,SI,ES,CH,UK,AT,SE,FI&fbclid=IwAR0e6rAg-E5ltAdrK1VrMmFHrgdFjt5ns-SzYP0m60e_RMIMse-0KZ3N2QM

https://www.tomtom.com/en_gb/traffic-index/bucharest-traffic#statistics

https://www.tomtom.com/en_gb/traffic-index/bucharest-traffic#statistics

https://www.tomtom.com/en_gb/traffic-index/bucharest-traffic#statistics","Site-ul TomTomTraffic analizează traficul din 57 de țări și 416 orașe și oferă informații despre blocajele din trafic și întârzieri preconizate pe un traseu planificat. Conform proprietarilor, este o aplicație la care sunt conectate peste 600 de milioane de dispozitive. 

Aplicația a fost dezvoltată de firma TomTom N.V din Amsterdam și-l are ca fondator pe olandezul Harold Goddijn.  Până în 1996, compania a dezvoltat aplicații precum cele pentru citirea contoarelor și citirea codurilor de bare, iar din 2002 a început să lanseze dispozitive de navigație.. Tot de atunci, a început și să indexeze date cu privire la trafic. 

TomTom Traffic este disponibil în peste 75 de țări din Europa, America, Africa, Orientul Mijlociu și Asia, iar la finalul lui ianuarie 2020, dezvoltatorii aplicației au publicat clasamentul pentru anul 2019.

În indexul TomTomTraffic din 2019 privind congestionarea urbană, Bucureștiul se află pe locul patru în Europa și pe locul 14 în lume.

Indicele de congestie a traficului calculat pentru București a crescut cu 4 procente, până la 52% în 2019, chiar dacă, în clasamentul european, a fost în scădere cu un loc, iar în indexul mondial, cu trei poziții.

Însă, în ceea ce privește strict orașele din Uniunea Europeană, Bucureștiul ocupă prima poziție, cu un nivel al congestiei traficului de 52% în 2019, în creștere cu 4% față de 2018. Este, de altfel, și singurul oraș din UE cu un nivel al congestiei traficului de peste 50%. 



 

TomTomTraffic prezintă datele și într-o variantă detaliată. De exemplu, arată care sunt orele de vârf ale orașului, cât timp petrec oamenii în trafic, care a fost cea mai aglomerată sau cea mai liberă zi din an pe șosele etc. "
7,578,578, Vlad Voiculescu,"„În 2016 am schimbat legislația în materie astfel încât managerii să raporteze infecțiile nosocomiale. Vedeți că din 2016 raportarea a început să crească. Ceea ce vedem, însă, este în continuare, la o fracțiune din realitate.”", DECLARAÈšII Sanatate,0,"În acel an ministru al Sănătății era Vlad Voiculescu. Acesta a emis ordinul 1101 prin care s-au stabilit noi norme de supraveghere, prevenire și  limitare a infecțiilor intraspitalicești. ","Subraportarea infecțiilor nosocomiale este însă un fenomen în România. Au remarcat asta, inclusiv procurorii DNA când au scris rechizitoriul în cazul Hexi Pharma- firma acuzată că dilua substanțe dezinfectante și apoi le livra spitalelor din țară. ","http://legislatie.just.ro/Public/DetaliiDocument/182388

http://legislatie.just.ro/Public/DetaliiDocumentAfis/182387

http://legislatie.just.ro/Public/DetaliiDocumentAfis/182387

http://legislatie.just.ro/Public/DetaliiDocumentAfis/74963

http://legislatie.just.ro/Public/DetaliiDocumentAfis/74963

http://www.cdep.ro/interpel/2018/r3745A.pdf

https://www.digi24.ro/stiri/actualitate/sanatate/rechizitoriu-infectiile-nosocomiale-subraportate-de-sefii-de-spitale-683513","În acel an ministru al Sănătății era Vlad Voiculescu. Acesta a emis ordinul 1101 prin care s-au stabilit noi norme de supraveghere, prevenire și  limitare a infecțiilor intraspitalicești. 

Prin aceste norme, fiecare unitate medicală a fost obligată să creeze în interiorul ei un serviciu sau compartiment special pentru prevenirea infecțiilor contractate în spitale, direct subordonat managerului de spital. 

La atribuțiile managerului de spital ( vezi anexa 1, capitolul II) este specificat clar, că pe lângă organizarea acestui compartiment special, el  “răspunde de afişarea pe site-ul propriu al unităţii a informaţiilor statistice (rata trimestrială şi anuală de incidenţă, rata de prevalenţă, incidenţa trimestrială şi anuală defalcată pe tipuri de infecţii şi pe secţii) privind infecţiile asociate asistenţei medicale, a rezultatelor testelor de evaluare a eficienţei curăţeniei şi dezinfecţiei, a consumului de antibiotice, cu defalcarea consumului antibioticelor de rezervă”

Și “verifică şi aprobă evidenţa informaţiilor transmise eşaloanelor ierarhice, conform legii sau la solicitare legală, aferente activităţii de supraveghere, depistare, diagnostic, investigare epidemiologică, şi măsurile de limitare a focarului de infecţie asociată asistenţei medicale din unitate”

Până la ordinul emis de Voiculescu, au existat alte norme. 

 

Ordinul 916/2006, abrogat prin ordinul semnat de Voiculescu, prevedea tot norme de supraveghere, prevenire şi control al infecţiilor nosocomiale în unităţile sanitare. 

Și el stabilea organizarea şi funcţionarea unor servicii de supraveghere şi control al infecţiilor nosocomiale, dar managerul de spital nu avea nicio atribuție privind raportarea acestora sau publicarea lor pe site-ul spitalului. (vezi Anexa I, Capitolul III, Atribuțiile Managerului)

 

Conform datelor furnizate de Ministerul Sănătății la cererea unor parlamentari situația arată în felul următor: 

Dacă în 2015, au fost raportate cu 1686 cazuri mai multe ca în 2014, în 2016 diferența față de anul precendent a crescut brusc cu peste  3800 de cazuri. 

Subraportarea infecțiilor nosocomiale este însă un fenomen în România. Au remarcat asta, inclusiv procurorii DNA când au scris rechizitoriul în cazul Hexi Pharma- firma acuzată că dilua substanțe dezinfectante și apoi le livra spitalelor din țară. "
8,929,929, NicuÈ™or Dan,Nicușor Dan: „Legea mă obligă ca la orice act normativ să existe consultare publică - legea 52/2003”, DECLARAÈšII Electoral,0,Legea 52/2003 prevede consultarea publică obligatorie în ceea ce privește actele normative.,Legea 52/2003 prevede consultarea publică obligatorie în ceea ce privește actele normative., ,Legea 52/2003 prevede consultarea publică obligatorie în ceea ce privește actele normative.
9,899,899, NicuÈ™or Dan,Sunt sub 10 km de piste de biciclete în București., DECLARAÈšII Transport,0,"Într-un raport publicat în martie 2015 de OPTAR (Organizaţia pentru Promovarea Transportului Alternativ în România), intitulat Infrastructura pentru biciclete din București, găsim un calcul făcut pe baza unui răspuns oficial din partea Inspectoratului General al Poliției Române – Centrul de Informare și Relații publice, cu privire la pistele de biciclete deschise circulației: ",Pistele menționate în răspuns au fost centralizate de către Optar în această hartă. Am măsurat cu ajutorul Google Maps toate aceste trasee și am obținut o lungime totală de aproximativ 7.6 km.,"http://optar.ro/despre-noi/

https://issuu.com/marianivan/docs/raport_-_infrastructura_biciclete_d

http://optar.ro/wp-content/uploads/2014/02/IGPR-piste-biciclete-ian-2015.pdf

https://www.factual.ro/wp-content/uploads/2016/07/pista.jpg

https://www.factual.ro/wp-content/uploads/2016/07/doi.jpg

https://www.facebook.com/optar.ro/posts/1076303865776417","Într-un raport publicat în martie 2015 de OPTAR (Organizaţia pentru Promovarea Transportului Alternativ în România), intitulat Infrastructura pentru biciclete din București, găsim un calcul făcut pe baza unui răspuns oficial din partea Inspectoratului General al Poliției Române – Centrul de Informare și Relații publice, cu privire la pistele de biciclete deschise circulației: 

Pe 13 iunie, Asociația Optar a formulat o nouă cerere privind situația actualizată a pistelor de biciclete de București, acesta fiind răspunsul primit:



Pistele menționate în răspuns au fost centralizate de către Optar în această hartă. Am măsurat cu ajutorul Google Maps toate aceste trasee și am obținut o lungime totală de aproximativ 7.6 km."
