,Unnamed: 0,source,location,text,detective,category,label
0,1887,Todd Staples,"stated on September 16, 2010 in a radio interview.:",Says the U.S. Constitution provides for just compensation when land is taken under eminent domain.,"By W. Gardner Selby • September 28, 2010",true,0
1,807,Kevin Brady,"stated on December 17, 2014 in a press release:","""Texas families have kept more than $10 billion in their family budgets since we successfully fought to restore Texas' sales tax deduction a decade ago.""","By W. Gardner Selby • December 23, 2014",true,0
2,516,Bill Mitchell,"stated on April 20, 2016 in a speech:","""Over the last six years, the state of Illinois spent about $320 million on illegal immigrants.""","By Joseph Cariz • July 14, 2016",true,0
3,96,Joe Biden,"stated on December 12, 2019 in a campaign ad:","California firefighters decided ""to speak out"" against President Trump because his tweet about the state’s wildfires ""contained so much misinformation.""","By Chris Nichols • December 18, 2019",true,0
4,1517,Oregon Department of Fish and Wildlife,"stated on December 12, 2011 in a news story:",Says there have been no cases of wolves killing people in Rocky Mountain states.,"By Ian K. Kullgren • December 16, 2011",true,0
5,316,Chris Abele,"stated on October 2, 2017 in a tweet:","90 percent of Americans ""support universal background checks"" for gun purchases.","By Tom Kertscher • October 3, 2017",true,0
6,995,Debra Medina,"stated on December 13, 2013 in a press release:","""At present spending levels, only citizens of New York have a greater local debt burden than Texans.""","By Sue Owen • December 6, 2013",true,0
7,1630,Patrick Murphy,"stated on July 16, 2011 in a statement on his campaign website:","""For the second quarter in a row, my campaign has raised more money than any other challenger in the nation and brought our fundraising total to over $800,000.""","By Amy Sherman • August 2, 2011",true,0
8,1260,Leonard Lance,"stated on October 11, 2012 in a debate:","Says Barack Obama ""said when he was running for office four years ago that he would halve the annual deficit by the end of his first term. That simply has not happened.""","By Bill Wichert • October 21, 2012",true,0
9,180,John Nygren,"stated on February 12, 2019 in a tweet:","""Over the last eight years, we’ve shown that even though we’ve cut taxes by $8 billion, revenues continue to grow.""","By Eric Litke • March 21, 2019",true,0
10,1708,Tim Kaine,"stated on April 5, 2011 in a YouTube video:","Virginia was named ""best managed state, best state for business and best state to raise a child"" while I was governor.","By Jacob Geiger • April 7, 2011",true,0
11,144,Kirsten Gillibrand,"stated on May 10, 2019 in a campaign stop:","""I actually in 2005 ran on Medicare for all.""","By Jill Terreri Ramos • May 22, 2019",true,0
12,1499,Suzanne Bonamici,"stated on January 10, 2012 in a debate:",Federal law prohibits the growing of industrial hemp in the United States.,"By Janie Har • January 14, 2012",true,0
13,954,NAACP,"stated on March 3, 2014 in a news release:","In the U.S., ""African-Americans continue to be arrested at nearly three and one half times the rate of whites"" on marijuana charges.","By John Hill • March 16, 2014",true,0
14,2063,John Boehner,"stated on January 27, 2010 in a blog post:","""President Obama's proposed 'spending freeze' will only reduce the $42 trillion in government spending proposed between 2011 and 2020 by little more than one-half of 1 percent.""","By Robert Farley • January 28, 2010",true,0
15,1437,Kathleen Clyde,"stated on January 27, 2012 in a news conference:","""Ohio is not meeting its obligation to update voter registrations when voters change their address with the BMV.""","By Tom Feran • March 13, 2012",true,0
16,1591,Sheldon Whitehouse,"stated on July 29, 2011 in a Senate speech :","""In 1976, the first year that Pell Grants were fully funded, a full Pell Grant paid 72 percent of the cost of attendance at a typical four-year public college. Today, a full Pell Grant covers just 34 percent of those costs.","By Edward Fitzpatrick • September 22, 2011",true,0
17,1622,Paul Krugman,"stated on August 15, 2011 in a column in the ""New York Times"":","""One in four Texans lacks health insurance, the highest proportion in the nation.""","By Angie Drobnic Holan • August 15, 2011",true,0
18,1603,Rob Portman,"stated on August 28, 2011 in a newspaper column:","Says the federal government is ""the largest energy user in the country.""","By Tom Feran • September 7, 2011",true,0
19,93,Andrew Yang,"stated on December 19, 2019 in comments during the December Democratic presidential primary debate.:","""If you're a black woman, you're 320% more likely to die from complications in childbirth.""","By Victoria Knight • December 20, 2019",true,0
20,198,Mike Romano,"stated on November 8, 2018 in an op-ed:","""In 2017, West Virginia’s $43,469 median household income was $16,867 below the national average, ranking 50th.""","By Julia Mellett • December 7, 2018",true,0
21,504,Sherrod Brown,"stated on July 27, 2016 in fundraising email:","""The Koch network (is) spending more money (in a Senate race) in Ohio than anywhere else in the country.""","By Nadia Pflaum • July 28, 2016",true,0
22,40,Sara Meaney,"stated on May 24, 2020 in a TV interview:","“Since the week ending March 14, Wisconsin actually saw a drop in tourism spending compared to last year of $1.7 billion.”","By D.L. Davis • June 12, 2020",true,0
23,2213,Mitt Romney,"stated on January 24, 2008 in Boca Raton, Fla.:","""Two-thirds of our economy is a consumer economy.""","By Angie Drobnic Holan • January 30, 2008",true,0
24,38,Desiree Rogers,"stated on June 10, 2020 in an interview on CNN:","In COVID-19 crisis, “only 20% of African Americans had jobs where they could work from home.”","By Jon Greenberg • June 16, 2020",true,0
25,1475,Brian Kemp,"stated on June 24, 2011 in in editorials and op-ed articles:",The Georgia Secretary of State's Office and the Georgia State Elections Board investigate and penalize hundreds of people guilty of election fraud.,"By Eric Stirgus • February 6, 2012",true,0
26,1149,Rob Portman,"stated on February 20, 2013 in a television interview:","""There have been literally hundreds of new tax preferences and loopholes added to the code since 1986, last time we did this.""","By Stephen Koff • March 11, 2013",true,0
27,242,Jeff Sessions,"stated on July 26, 2018 in a speech:","""One out of every 30 people in the Greater Boston area is an illegal alien.""","By Miriam Valverde • July 31, 2018",true,0
28,1377,Lou Greenwald,"stated on April 1, 2012 in an interview with on NJTV's ""On The Record."":","New Jersey has ""the highest property taxes in the nation and not by a little. They are the highest property taxes in the nation, more than double the national average.""","By Caryn Shinske • May 10, 2012",true,0
29,2000,Arlen Specter,"stated on April 21, 2010 in an interview on MSNBC's Daily Rundown:","""Congress can tell [the Supreme Court] which cases they ought to hear. We have that authority.""","By Catharine Richert • April 28, 2010",true,0
30,1919,Hank Johnson,"stated on July 28, 2010 in a statement:","Exporters are using a federal loophole to ""deceptively sell products made from cat and dog fur"" to U.S. consumers.","By Eric Stirgus • August 11, 2010",true,0
31,626,Charlotte Nash,"stated on November 17, 2015 in a statement:","Since 2008, Gwinnett County’s population has grown 15 percent, while the county government staff has increased only 1 percent.","By Nancy Badertscher • December 11, 2015",true,0
32,1490,Barack Obama,"stated on January 24, 2012 in the State of the Union address:",Says he eliminated an EPA rule that treated spilled milk like it was oil.,"By Molly Moorhead • January 24, 2012",true,0
33,708,Don Beyer,"stated on June 15, 2015 in a website post:","""More than half of women under 30 who give birth do so outside of marriage...""","By Sean Gorman • June 22, 2015",true,0
34,1572,Alan Grayson,"stated on October 10, 2011 in an interview on MSNBC's ""The Rachel Maddow Show"":","""According to Wikipedia, there are only five countries in the entire planet that are more unequal than the United States in the distribution of our wealth.""","By Louis Jacobson • October 14, 2011",true,0
35,866,Chuck Todd,"stated on September 7, 2014 in a comment on ""Meet the Press."":","""Eight out of the nine states with competitive Senate races, Hispanics make up less than 10 percent of the electorate.""","By Linda Qiu • September 7, 2014",true,0
36,1667,Dennis Kucinich,"stated on June 1, 2011 in a House committee hearing:","""Seventy of Ohio's 88 counties now have more than 25 percent of their residents eligible for emergency food.""","By Tom Feran • June 24, 2011",true,0
37,1933,John King,"stated on July 13, 2010 in a question to San Antonio Mayor Julian Castro:","""Sometime in the next decade, there will be more Latinos in the state of Texas than there are Anglos. That will happen sometime in the next five to eight to ten years.""","By W. Gardner Selby • July 26, 2010",true,0
38,495,Sean Patrick Maloney,"stated on July 28, 2016 in a speech at the Democratic National Convention:","Donald Trump is ""against marriage equality. He wants to go back.""","By Dan Clark • August 14, 2016",true,0
39,1090,Pete Gallego,"stated on May 15, 2013 in a U.S. House committee meeting.:","Says 97 percent of food stamp benefits ""are paid in the proper amounts to people who are really eligible.""","By W. Gardner Selby • June 25, 2013",true,0
40,1099,Dave Joyce,"stated on June 5, 2013 in a tweet:","""47 - New provisions ObamaCare charges the IRS with implementing, according to the Government Accountability Office.""","By Tom Feran • June 12, 2013",true,0
41,1762,Scott Rigell,"stated on February 14, 2011 in a press release.:","The United states is ""borrowing more than 40 cents of every dollar we spend.""","By Jacob Geiger • February 17, 2011",true,0
42,1827,Mark Warner,"stated on December 6, 2010 in a floor speech.:",The national debt grew an estimated $15 billion last weekend.,"By Wes Hester • December 9, 2010",true,0
