,source,text,type,category,label,English
0, Ludovic Orban,"„În ceea ce privește rata șomajului, din nou vă indic să vă informați din surse oficiale; rata șomajului în Europa este de 7,5%, în timp ce rata şomajului în România, care este în scădere, după datele statistice prezentate, este de 5,2%.”", DECLARAȚII Munca,Adevărat,0,"""Regarding the unemployment rate, again I suggest you to be informed from official sources; the unemployment rate in Europe is 7.5%, while the unemployment rate in Romania, which is declining, according to the statistical data presented, is 5.2%. ”"
1, Ludovic Orban,"„Gândiţi-vă că în 6 ani cât a fost PSD, pe niciun proiect mare de investiții Comisia Europeană nu a aprobat finanțarea.”", DECLARAȚII Electoral,Fals,3,"""Think that in the 6 years that PSD has been, the European Commission has not approved the financing of any large investment project."""
2, Florin Câțu,„Rata inflației a crescut de la 0% (da asta era rata inflației când a acaparat România gașca lui Dragnea) la 5.41%. A fost cea mai mare rată a inflației din UE aproape 3 ani la rând.”, DECLARAȚII Economie,Parțial Adevărat,1,"""The inflation rate increased from 0% (yes that was the inflation rate when Romania took over Dragnea's gang) to 5.41%. It was the highest inflation rate in the EU for almost 3 years in a row. """
3, Victor Ponta,"„La alegerile locale 700.000 de români s-au dus la vot, au pus ștampila și votul lor a fost anulat. Atenție, mai multe sunt anulate decat s-a votat în tot Bucureștiul.”", DECLARAȚII Electoral,Fals,3,"""In the local elections, 700,000 Romanians went to the polls, put the stamp and their vote was canceled. Attention, more are canceled than voted in all of Bucharest. """
4, Marcel Ciolacu,"„[...] din cazurile trimise la DNA în instanţă, 90% sunt achitări”", DECLARAȚII Justitie,Fals,3,"""[...] of the cases sent to DNA in court, 90% are acquittals"""
5, Marcel Ciolacu,"„20 de ani din cei 30 de democrație românească, Ministerul Sănătății a fost condus de către miniștri ai Partidului Național Liberal”", DECLARAȚII Sanatate,Fals,3,"""20 years out of the 30 Romanian democracies, the Ministry of Health was led by ministers of the National Liberal Party"""
6, Vlad Voiculescu,"„luna trecută [stimulentele financiare pentru persoane cu handicap] au venit mai devreme, pe 23 ale lunii. Pe 27 erau alegeri, deh.”", DECLARAȚII Social,Adevărat,0,"""Last month [financial incentives for people with disabilities] came earlier, on the 23rd of the month. There were elections on the 27th, eh. ”"
7, Gabriela Firea,"„(...)în Europa, doar România și Lituania țin școlile închise.”", DECLARAȚII Coronavirus,Fals,3,"""(...) in Europe, only Romania and Lithuania keep their schools closed."""
8, Mihaela Huncă,„1.200 de angajaţi pe posturi didactice auxiliare şi nedidactice au fost daţi afară în ianuarie.”, DECLARAȚII Coronavirus,Adevărat,0,"""1,200 employees in auxiliary and non-teaching positions were laid off in January."""
9, Mihaela Huncă,"„Performanţă de invidiat pentru Ministerul Muncii care printr-un ordin sec a reuşit să mărească valoarea tichetelor de masă. Majorarea este de domeniul ridicolului: un ban. Astfel, din luna octombrie, valoarea unui tichet de masă creşte de la 20 de lei la 20,01 lei.”", DECLARAȚII Social,Trunchiat,2,"""An enviable performance for the Ministry of Labor, which through a dry order managed to increase the value of meal vouchers. The increase is in the realm of ridicule: a penny. Thus, from October, the value of a meal ticket increases from 20 lei to 20.01 lei. ”"
10, Cristian Seidler,"„Pensiile speciale pentru aleșii locali – toți primarii, viceprimarii, președinții și vicepreședinții de consilii județene din 1992 până la sfârșitul lumii – au fost introduse prin Codul Administrativ de Guvernul Dăncilă care l-a adoptat prin Ordonanță de Urgență. Avocatul Poporului nu a atacat la CCR articolul referitor la aceste pensii speciale, așa cum i-a solicitat USR, deși CCR s-a exprimat anterior pe texte identice decizând că sunt neconstituționale.”", DECLARAȚII Electoral,Adevărat,0,"""Special pensions for local elected officials - all mayors, deputy mayors, presidents and vice presidents of county councils from 1992 to the end of the world - were introduced by the Administrative Code of the Dăncilă Government which adopted it by Emergency Ordinance. The People's Advocate did not attack at CCR the article regarding these special pensions, as requested by USR, although CCR previously expressed itself on identical texts deciding that they are unconstitutional. """
