,source,text,type,category,label,English,text_size,subject,contains_name
0, Ludovic Orban,"„În ceea ce privește rata șomajului, din nou vă indic să vă informați din surse oficiale; rata șomajului în Europa este de 7,5%, în timp ce rata şomajului în România, care este în scădere, după datele statistice prezentate, este de 5,2%.”", DECLARAȚII Munca,Adevărat,0,"""Regarding the unemployment rate, again I suggest you to be informed from official sources; the unemployment rate in Europe is 7.5%, while the unemployment rate in Romania, which is declining, according to the statistical data presented, is 5.2%. ” ",big,Social,no
2, Florin Câțu,„Rata inflației a crescut de la 0% (da asta era rata inflației când a acaparat România gașca lui Dragnea) la 5.41%. A fost cea mai mare rată a inflației din UE aproape 3 ani la rând.”, DECLARAȚII Economie,Parțial Adevărat,1,"""The inflation rate increased from 0% (yes that was the inflation rate when Romania took over Dragnea's gang) to 5.41%. It was the highest inflation rate in the EU for almost 3 years in a row. "" ",big,Economie,no
3, Victor Ponta,"„La alegerile locale 700.000 de români s-au dus la vot, au pus ștampila și votul lor a fost anulat. Atenție, mai multe sunt anulate decat s-a votat în tot Bucureștiul.”", DECLARAȚII Electoral,Fals,3,"""In the local elections, 700,000 Romanians went to the polls, put the stamp and their vote was canceled. Attention, more are canceled than voted in all of Bucharest. "" ",small,Politica,no
7, Gabriela Firea,"„(...)în Europa, doar România și Lituania țin școlile închise.”", DECLARAȚII Coronavirus,Fals,3,"""(...) in Europe, only Romania and Lithuania keep their schools closed."" ",small,Coronavirus,no
8, Mihaela Huncă,„1.200 de angajaţi pe posturi didactice auxiliare şi nedidactice au fost daţi afară în ianuarie.”, DECLARAȚII Coronavirus,Adevărat,0,"""1,200 employees in auxiliary and non-teaching positions were laid off in January."" ",small,Coronavirus,no
21, Alexandru Rafila,„În Suedia acum sunt cele mai puține cazuri din Uniunea Europeană.”, DECLARAȚII Coronavirus,Fals,3,"""Sweden now has the fewest cases in the European Union."" ",small,Coronavirus,no
22, Ludovic Orban,"„(...)nivelul investițiilor publice, deși suntem în criză economică generată de criza sanitară, e cel mai mare din ultimii zece ani. ”", DECLARAȚII Finante,Parțial Adevărat,1,"""(...) the level of public investment, although we are in an economic crisis generated by the health crisis, is the highest in the last ten years. ” ",small,Economie,no
35, Rareș Bogdan,„Am câştigat cele mai mari judeţe din România.”, DECLARAȚII Electoral,Adevărat,0,"""We won the largest counties in Romania."" ",small,Politica,no
40, Adina Alberts,"„Această aparent banală substanță [albastru de metilen], atât de ieftină și care se găsește 'pe toate drumurile', este extrem de eficientă în prevenirea și în combaterea infecției cu noul coronavirus”", DECLARAȚII Coronavirus,Fals,3,"""This seemingly trivial substance [methylene blue], so cheap and found 'all the way', is extremely effective in preventing and fighting the new coronavirus infection."" ",small,Coronavirus,no
52, Raluca Turcan,"„Cheia reușitei administrației PNL în județul Sibiu stă în fonduri europene. 80% din bugetul de anul acesta, dedicat dezvoltării județului provine din fonduri nerambursabile”", DECLARAȚII Electoral,Fals,3,"""The key to the success of the PNL administration in Sibiu County lies in European funds. 80% of this year's budget, dedicated to the development of the county comes from non-reimbursable funds "" ",small,Politica,no
55, Florin Câțu,"„Au fost crescute pensiile cu cea mai mare sumă pe care a făcut-o vreodată un Guvern""", DECLARAȚII Finante,Trunchiat,2,"""Pensions have been raised by the largest amount a government has ever made"" ",small,Economie,no
58, Florin Câțu,"„A doua veste bună, în iulie câștigul salarial mediu nominal net a crescut cu 8,1% față de iulie 2019.”", DECLARAȚII Social,Adevărat,0,"""The second good news is that in July, the average net nominal earnings increased by 8.1% compared to July 2019."" ",small,Economie,no
61, Nicușor Dan,"„Lucrul cel mai grav este faptul că avem 15 şcoli, care nu pot să fie deschise, pentru că nu s-au terminat lucrările în ele. Asta mi se pare incalificabil”", DECLARAȚII Educatie,Parțial Adevărat,1,"""The worst thing is the fact that we have 15 schools, which cannot be opened, because the works in them have not been finished. That seems incalculable to me. "" ",small,Social,no
62, Dragos Benea,"„Județul Bacău - locul 1 în Moldova la absorbția de fonduri europene, în intervalul 2014 - 2020”", DECLARAȚII Finante,Fals,3,"""Bacau County - 1st place in Moldova in the absorption of European funds, between 2014 - 2020"" ",small,Economie,no
65, Victor Ponta,"„Ludovic Orban tocmai a dat 1,3 miliarde de RON (300 milioane EURO) din Buget pentru “acoperirea nevoilor urgente ale administrațiilor locale”", DECLARAȚII Finante,Adevărat,0,"""Ludovic Orban has just given RON 1.3 billion (EUR 300 million) from the Budget for"" covering the urgent needs of local administrations "" ",small,Economie,no
