,source,text,type,category,label,English,text_size,subject,contains_name
1, Ludovic Orban,"„Gândiţi-vă că în 6 ani cât a fost PSD, pe niciun proiect mare de investiții Comisia Europeană nu a aprobat finanțarea.”", DECLARAȚII Electoral,Fals,3,"""Think that in the 6 years that PSD has been, the European Commission has not approved the financing of any large investment project."" ",small,Politica,yes
4, Marcel Ciolacu,"„[...] din cazurile trimise la DNA în instanţă, 90% sunt achitări”", DECLARAȚII Justitie,Fals,3,"""[...] of the cases sent to DNA in court, 90% are acquittals"" ",small,Justitie,yes
5, Marcel Ciolacu,"„20 de ani din cei 30 de democrație românească, Ministerul Sănătății a fost condus de către miniștri ai Partidului Național Liberal”", DECLARAȚII Sanatate,Fals,3,"""20 years out of the 30 Romanian democracies, the Ministry of Health was led by ministers of the National Liberal Party"" ",small,SanatateMediu,yes
6, Vlad Voiculescu,"„luna trecută [stimulentele financiare pentru persoane cu handicap] au venit mai devreme, pe 23 ale lunii. Pe 27 erau alegeri, deh.”", DECLARAȚII Social,Adevărat,0,"""Last month [financial incentives for people with disabilities] came earlier, on the 23rd of the month. There were elections on the 27th, eh. ” ",small,Economie,yes
9, Mihaela Huncă,"„Performanţă de invidiat pentru Ministerul Muncii care printr-un ordin sec a reuşit să mărească valoarea tichetelor de masă. Majorarea este de domeniul ridicolului: un ban. Astfel, din luna octombrie, valoarea unui tichet de masă creşte de la 20 de lei la 20,01 lei.”", DECLARAȚII Social,Trunchiat,2,"""An enviable performance for the Ministry of Labor, which through a dry order managed to increase the value of meal vouchers. The increase is in the realm of ridicule: a penny. Thus, from October, the value of a meal ticket increases from 20 lei to 20.01 lei. ” ",big,Economie,yes
10, Cristian Seidler,"„Pensiile speciale pentru aleșii locali – toți primarii, viceprimarii, președinții și vicepreședinții de consilii județene din 1992 până la sfârșitul lumii – au fost introduse prin Codul Administrativ de Guvernul Dăncilă care l-a adoptat prin Ordonanță de Urgență. Avocatul Poporului nu a atacat la CCR articolul referitor la aceste pensii speciale, așa cum i-a solicitat USR, deși CCR s-a exprimat anterior pe texte identice decizând că sunt neconstituționale.”", DECLARAȚII Electoral,Adevărat,0,"""Special pensions for local elected officials - all mayors, deputy mayors, presidents and vice presidents of county councils from 1992 to the end of the world - were introduced by the Administrative Code of the Dăncilă Government which adopted it by Emergency Ordinance. The People's Advocate did not attack at CCR the article regarding these special pensions, as requested by USR, although CCR previously expressed itself on identical texts deciding that they are unconstitutional. "" ",big,Politica,yes
11, Florin Câțu,"„PSD minte şi manipulează. Este şi o doză de prostie acolo. PSD ştie foarte bine că Legea finanţelor publice a fost modificată, chiar de PSD, în 2012, şi spune foarte clar că bugetul este prezentat, în an electoral, la 15 zile după învestirea noului Guvern. Liderul PSD Marcel Ciolacu ştie foarte bine acest lucru, întrucât a votat cu mâna lui modificările legislative.”", DECLARAȚII Finante,Adevărat,0,"""PSD lies and manipulates. There's also a dose of stupidity there. PSD knows very well that the Public Finance Law was amended, even by PSD, in 2012, and says very clearly that the budget is presented, in the election year, 15 days after the inauguration of the new Government. PSD leader Marcel Ciolacu knows this very well, as he voted with his hand for legislative changes. "" ",big,Economie,yes
12, Klaus Iohannis,„Testarea în masă nu este recomandată decât de persoane care vor să pară interesante”, DECLARAȚII Coronavirus,Parțial Adevărat,1,"""Mass testing is only recommended by people who want to look interesting"" ",small,Coronavirus,yes
13, Ludovic Orban,„România este cea mai bine pregătită ţară europeană de pe lista ţărilor europene care sunt în curs de aderare la OECD”, DECLARAȚII Coronavirus,Parțial Adevărat,1,"""Romania is the best prepared European country on the list of European countries that are in the process of joining the OECD"" ",small,Coronavirus,yes
14, Klaus Iohannis,"„Nu există o definiție universal valabilă sau european valabilă pentru starea de urgență. Ceea ce declară alte state din zona noastră sau, mă rog, din Spania este mai degrabă similar cu ce se numește la noi starea de alertă. Starea de alertă permite instituirea cam a tuturor restricțiilor și măsurilor care sunt necesare pentru a gestiona o astfel de pandemie.”", DECLARAȚII Coronavirus,Adevărat,0,"""There is no universally valid or European definition of a state of emergency. What other states in our area or, well, in Spain say, is rather similar to what we call the state of alert. The state of alert allows the establishment of almost all the restrictions and measures that are necessary to manage such a pandemic. "" ",big,Coronavirus,yes
