,source,text,type,category,label,English,text_size,subject,contains_name
7, Gabriela Firea,"„(...)în Europa, doar România și Lituania țin școlile închise.”", DECLARAȚII Coronavirus,Fals,3,"""(...) in Europe, only Romania and Lithuania keep their schools closed."" ",small,Coronavirus,no
8, Mihaela Huncă,„1.200 de angajaţi pe posturi didactice auxiliare şi nedidactice au fost daţi afară în ianuarie.”, DECLARAȚII Coronavirus,Adevărat,0,"""1,200 employees in auxiliary and non-teaching positions were laid off in January."" ",small,Coronavirus,no
12, Klaus Iohannis,„Testarea în masă nu este recomandată decât de persoane care vor să pară interesante”, DECLARAȚII Coronavirus,Parțial Adevărat,1,"""Mass testing is only recommended by people who want to look interesting"" ",small,Coronavirus,yes
13, Ludovic Orban,„România este cea mai bine pregătită ţară europeană de pe lista ţărilor europene care sunt în curs de aderare la OECD”, DECLARAȚII Coronavirus,Parțial Adevărat,1,"""Romania is the best prepared European country on the list of European countries that are in the process of joining the OECD"" ",small,Coronavirus,yes
14, Klaus Iohannis,"„Nu există o definiție universal valabilă sau european valabilă pentru starea de urgență. Ceea ce declară alte state din zona noastră sau, mă rog, din Spania este mai degrabă similar cu ce se numește la noi starea de alertă. Starea de alertă permite instituirea cam a tuturor restricțiilor și măsurilor care sunt necesare pentru a gestiona o astfel de pandemie.”", DECLARAȚII Coronavirus,Adevărat,0,"""There is no universally valid or European definition of a state of emergency. What other states in our area or, well, in Spain say, is rather similar to what we call the state of alert. The state of alert allows the establishment of almost all the restrictions and measures that are necessary to manage such a pandemic. "" ",big,Coronavirus,yes
15, Aurelian Bădulescu,"„Nu există un studiu care să certifice, fără echivoc, faptul că restaurantele pot duce la răspândirea virusului mai mult decât alte activități, ci din contra, conform celor mai noi statistici referitoare la incidența cazurilor de COVID pe domenii, industria HORECA se află pe ULTIMUL LOC.”", DECLARAȚII Coronavirus,Trunchiat,2,"""There is no study that unequivocally certifies that restaurants can spread the virus more than other activities, but on the contrary, according to the latest statistics on the incidence of COVID cases by field, the HORECA industry is on the LAST PLACE."" ",big,Coronavirus,yes
21, Alexandru Rafila,„În Suedia acum sunt cele mai puține cazuri din Uniunea Europeană.”, DECLARAȚII Coronavirus,Fals,3,"""Sweden now has the fewest cases in the European Union."" ",small,Coronavirus,no
28, Carmen Avram,"„România nu produce Remdesivir, deşi ar putea, pentru că nu vrea guvernul!! Azi, Premierul României răspundea evaziv, când era întrebat dacă va susține fabricarea de Remdesivir în țara lui. Cică nu e printre „tratamentele certe"". Serios? Şi, atunci, de ce l-a autorizat Comisia Europeană, în iulie, de ce au cumpărat SUA tot stocul, peste vară şi de ce unele țări, cum ar fi Ungaria, au început să-l producă?.”", DECLARAȚII Coronavirus,Trunchiat,2,"""Romania does not produce Remdesivir, although it could, because it does not want the government !! Today, the Prime Minister of Romania answered evasively, when asked if he would support the manufacture of Remdesivir in his country. That's not one of the ""definite treatments."" Really? does it produce it? ” ",big,Coronavirus,yes
40, Adina Alberts,"„Această aparent banală substanță [albastru de metilen], atât de ieftină și care se găsește 'pe toate drumurile', este extrem de eficientă în prevenirea și în combaterea infecției cu noul coronavirus”", DECLARAȚII Coronavirus,Fals,3,"""This seemingly trivial substance [methylene blue], so cheap and found 'all the way', is extremely effective in preventing and fighting the new coronavirus infection."" ",small,Coronavirus,no
44, Gabriela Firea,„Trebuie să luăm în discuție acest subiect. La clasele I-IV e foarte dificil să-i convingi pe copii să poarte măști. Un copil să stea 4-5 ore pe zi cu masca... nu se mai oxigenează potrivit creierul.”, DECLARAȚII Coronavirus,Fals,3,"""It simply came to our notice then. In grades I-IV it is very difficult to convince children to wear masks. A child should stay with the mask for 4-5 hours a day ... it no longer oxygenates itself according to the brain. ” ",big,Coronavirus,yes
47, Florian Bodog,"„România continuă să fie, de departe, țara cu cei mai mulți oameni care mor de COVID-19 din Uniunea Europeană, conform Centrului European de Control al Bolilor. Este bilanțul negru unui Guvern de ticăloși și incompetenți! Guvernul Orban - PNL a ""reușit"" să gestioneze atât de prost criza sanitară încât, dacă locuiești în România, ai între de 10 și de 30 de ori mai multe șanse să mori de COVID decât în majoritatea celorlalte țări europene.”", DECLARAȚII Coronavirus,Trunchiat,2,"""Romania continues to be, by far, the country with the most people dying of COVID-19 in the European Union, according to the European Center for Disease Control. It is the black balance of a Government of villains and incompetents! The Orban - PNL government has ""managed"" to manage the health crisis so badly that, if you live in Romania, you have between 10 and 30 times more chances to die of COVID than in most other European countries. "" ",big,Coronavirus,yes
54, Ludovic Orban,"„Dintre românii care s-au îmbolnăvit, procentul elevilor de vârstă școlară este de 6,3%, fără să fie școală.”", DECLARAȚII Coronavirus,Parțial Adevărat,1,"""Among the Romanians who got sick, the percentage of school-age students is 6.3%, without being a school."" ",small,Coronavirus,yes
76, Vlad Bontea,"„O arată clar și fără dubiu un raport oficial al #UniuniiEuropene din care reiese că România are una dintre cele mai scăzute rate ale testării, simultan cu una dintre cele mai ridicate rate de pozitivare – noi cazuri de îmbolnăvire, constatate în urma testelor.”", DECLARAȚII Coronavirus,Parțial Adevărat,1,"""It is clearly and without a doubt shown by an official report of the #European Union which shows that Romania has one of the lowest rates of testing, simultaneously with one of the highest rates of positive - new cases of disease, found after the tests."" ",big,Coronavirus,yes
77, Ludovic Orban,"„Au fost țări, Polonia și Croația de exemplu, care au organizat alegerile și asta nu a dus la o creștere a numărului de infectări.”", DECLARAȚII Coronavirus,Fals,3,"""There were countries, Poland and Croatia for example, that organized the elections and that did not lead to an increase in the number of infections."" ",small,Coronavirus,no
93, Gabriela Firea,„Suntem singura ţară care a internat persoane fără niciun simptom şi am aglomerat spitalele. Am umplut spitalele cu persoane care nu aveau niciun fel de problemă. Suntem singurii din Europa care au internat persoane fără niciun simptom.”, DECLARAȚII Coronavirus,Adevărat,0,"""We are the only country that admitted people without any symptoms and we crowded the hospitals. I filled the hospitals with people who had no problems. We are the only ones in Europe who have hospitalized people without any symptoms. "" ",big,Coronavirus,yes
96, Emanuel Ungureanu,",,777 de cazuri NOI de Covid 19 și Boc refuză să ceară tratarea tuturor angajaților din primărie dar plătește articole în care îndeamnă la responsabilitate pe alții... La Primăria Cluj-Napoca nu s-a făcut niciun test anti Covid 19 cu toate că sunt deja confirmate 2 cazuri în același birou.”", DECLARAȚII Coronavirus,Adevărat,0,",, 777 NEW cases of Covid 19 and Boc refuse to ask for the treatment of all employees of the mayor's office but pay for articles in which he urges others to take responsibility ... At the Cluj-Napoca City Hall no anti-Covid 19 test was performed, although they are already confirmed 2 cases in the same office. "" ",big,Coronavirus,yes
111, Ciprian Ciucu,"„Cu cât poluarea aerului este mai mare, cu atât coronavirusul se transmite mai ușor pentru că se atașează de microparticulele aflate în suspensie în aer și este inspirat odată cu acestea.”", DECLARAȚII Coronavirus,Adevărat,0,"""The higher the air pollution, the easier it is to transmit the coronavirus because it attaches to and is inspired by airborne microparticles."" ",small,Coronavirus,no
113, Marcel Ciolacu,"„La noi costă 70-80 de euro un test, iar în Germania costă 17-18 euro. Cam asta e diferenţa.”", DECLARAȚII Coronavirus,Fals,3,"""In our country, a test costs 70-80 euros, and in Germany it costs 17-18 euros. That's about the difference. "" ",small,Coronavirus,no
114, Mihai Fifor,„Legea carantinei a suferit modificări de peste 90% față de forma trimisă inițial de guvern.”, DECLARAȚII Coronavirus,Adevărat,0,"""The quarantine law has been amended by more than 90% compared to the form originally sent by the government."" ",small,Coronavirus,no
115, Teodor Meleșcanu,"„Azi, prim-ministrul Greciei, la televiziunea națională de la Atena, a făcut o declarație potrivit căreia România și Bulgaria umflă cifrele celor infectați cu Covid-19 pentru a obține din bugetul UE o parte mai importantă.”", DECLARAȚII Coronavirus,Fals,3,"""Today, the Prime Minister of Greece, on the national television in Athens, made a statement according to which Romania and Bulgaria inflate the figures of those infected with Covid-19 in order to obtain a more important part from the EU budget."" ",big,Coronavirus,yes
