,source,text,type,category,label,English,text_size,subject,contains_name
2, Florin Câțu,„Rata inflației a crescut de la 0% (da asta era rata inflației când a acaparat România gașca lui Dragnea) la 5.41%. A fost cea mai mare rată a inflației din UE aproape 3 ani la rând.”, DECLARAȚII Economie,Parțial Adevărat,1,"""The inflation rate increased from 0% (yes that was the inflation rate when Romania took over Dragnea's gang) to 5.41%. It was the highest inflation rate in the EU for almost 3 years in a row. "" ",big,Economie,no
6, Vlad Voiculescu,"„luna trecută [stimulentele financiare pentru persoane cu handicap] au venit mai devreme, pe 23 ale lunii. Pe 27 erau alegeri, deh.”", DECLARAȚII Social,Adevărat,0,"""Last month [financial incentives for people with disabilities] came earlier, on the 23rd of the month. There were elections on the 27th, eh. ” ",small,Economie,yes
9, Mihaela Huncă,"„Performanţă de invidiat pentru Ministerul Muncii care printr-un ordin sec a reuşit să mărească valoarea tichetelor de masă. Majorarea este de domeniul ridicolului: un ban. Astfel, din luna octombrie, valoarea unui tichet de masă creşte de la 20 de lei la 20,01 lei.”", DECLARAȚII Social,Trunchiat,2,"""An enviable performance for the Ministry of Labor, which through a dry order managed to increase the value of meal vouchers. The increase is in the realm of ridicule: a penny. Thus, from October, the value of a meal ticket increases from 20 lei to 20.01 lei. ” ",big,Economie,yes
11, Florin Câțu,"„PSD minte şi manipulează. Este şi o doză de prostie acolo. PSD ştie foarte bine că Legea finanţelor publice a fost modificată, chiar de PSD, în 2012, şi spune foarte clar că bugetul este prezentat, în an electoral, la 15 zile după învestirea noului Guvern. Liderul PSD Marcel Ciolacu ştie foarte bine acest lucru, întrucât a votat cu mâna lui modificările legislative.”", DECLARAȚII Finante,Adevărat,0,"""PSD lies and manipulates. There's also a dose of stupidity there. PSD knows very well that the Public Finance Law was amended, even by PSD, in 2012, and says very clearly that the budget is presented, in the election year, 15 days after the inauguration of the new Government. PSD leader Marcel Ciolacu knows this very well, as he voted with his hand for legislative changes. "" ",big,Economie,yes
17, Raluca Turcan,"„În primele nouă luni din 2020 am reuşit să atragem 2,2 miliarde de euro şi avem proiecte semnate pentru încă 3,2 miliarde de euro. Ca o comparaţie între ce a fost şi ce există în momentul de faţă în România, în guvernarea PSD, anul trecut, 1 miliard de euro atraşi. Avem cea mai mare rată de absorbție a fondurilor europene de la momentul integrării în Uniunea Europeană.”", DECLARAȚII Finante,Fals,3,"""In the first nine months of 2020, we managed to attract 2.2 billion euros and we have signed projects for another 3.2 billion euros. As a comparison between what was and what currently exists in Romania, in the PSD government, last year, 1 billion euros attracted. We have the highest rate of absorption of European funds since integration into the European Union. "" ",big,Economie,yes
18, Ștefan Radu Oprea,"„Nu sunt bani! Cea mai mare minciună spusă de Orban/Cîțu și gașca lor toxică. Au mutat 6,8 miliarde de la bugetul asigurărilor sociale la pușculița de partid, adică în fondul de rezervă și capitolul acțiuni generale de la Ministerul Finanțelor. Adică au luat banii pensionarilor!!!”", DECLARAȚII Finante,Trunchiat,2,"""There are no money! The biggest lie told by Orban / Cîțu and their toxic gang. They moved 6.8 billion from the social insurance budget to the party piggy bank, ie in the reserve fund and the general actions chapter from the Ministry of Finance. I mean, they took the pensioners' money !!! ” ",big,Economie,yes
22, Ludovic Orban,"„(...)nivelul investițiilor publice, deși suntem în criză economică generată de criza sanitară, e cel mai mare din ultimii zece ani. ”", DECLARAȚII Finante,Parțial Adevărat,1,"""(...) the level of public investment, although we are in an economic crisis generated by the health crisis, is the highest in the last ten years. ” ",small,Economie,no
23, Alina Gorghiu,"„Guvernul PNL a avut deja, în primele 9 luni de guvernare, investiții de 30 miliarde lei - adică mai mult decât s-a investit în anii 2016 și 2017, când era creștere economică și nici vorbă de pandemie.”", DECLARAȚII Finante,Trunchiat,2,"""The PNL government has already had, in the first 9 months of government, investments of 30 billion lei - that is more than it was invested in 2016 and 2017, when there was economic growth and no pandemic."" ",big,Economie,yes
24, Klaus Iohannis,„Germania este cel mai important partener comercial al României și unul dintre principalii investitori în economia românească.”, DECLARAȚII Economie,Adevărat,0,"""Germany is Romania's most important trading partner and one of the main investors in the Romanian economy."" ",small,Economie,yes
29, Victor Ponta,"Evident ca ma bucur si sunt mandru ca am finalizat si deschis Autostrada Sibiu - Deva ( chiar daca o mica portiune a avut nevoie ulterior de remedii - ca si Metroul din Drumul Taberei ) / si toti turbatii, “rezistentii”si istericii care ma injurau atunci merg zi de zi pe “Autostrada lui Ponta”", DECLARAȚII Transport,Fals,3,"Obviously I'm glad and I'm proud that I completed and opened the Sibiu - Deva Highway (even if a small portion later needed remedies - like the Metro from Drumul Taberei) / and all the madness, ""resistance"" and hysteria that cursed me then I go every day on the ""Ponta Highway"" ",big,Economie,yes
