,source,text,type,category,label,English,text_size,subject,contains_name
149, Dan Barna,„Pentru că atât cât au fost la guvernare au dat dovadă de o iresponsabilitate a cărei notă de plată încă o plătim. Ultima dovadă este anunțul Comisiei Europene potrivit căruia România nu mai îndeplinește niciunul dintre criteriile de aderare la euro. Niciunul. Raportul ajunge la această concluzie la finalul a trei ani de guvernare PSD în care situația țării s-a degradat în continuu.”, DECLARAȚII Externe,Adevărat,0,"""Because as long as they were in government, they showed an irresponsibility, the bill of which we still pay. The latest proof is the announcement of the European Commission according to which Romania no longer meets any of the criteria for joining the euro. No one. The report reaches this conclusion at the end of three years of PSD government in which the situation of the country has continuously deteriorated. "" ",big,Externe,yes
150, Lia Olguța Vasilescu,"„Au lege făcută de PSD și fonduri europene drept finanțare. Patronul poate primi pentru orice nou angajat, ucenic sau cu facultate, suma de 2250 lei/luna pe o perioadă cuprinsă între 6 luni și 3 ani.""", DECLARAȚII Externe,Parțial Adevărat,1,"""They have a law made by PSD and European funds as financing. The employer can receive for any new employee, apprentice or college, the amount of 2250 lei / month for a period between 6 months and 3 years. "" ",big,Externe,yes
177, Cristina Elena Dinu,"„Ministrul Muncii a făcut o vizită absolut degeaba în Germania, pentru a verifica condiţiile în care muncesc românii acolo. Nu a venit cu niciun rezultat, nu a prezentat nicio soluţie pentru a le rezolva problemele. Bani cheltuiţi inutil din bugetul statului!”", DECLARAȚII Externe,Fals,3,"""The Minister of Labor paid a visit to Germany in vain, in order to check the conditions in which Romanians work there. He did not come up with any results, he did not present any solution to solve their problems. Money spent unnecessarily from the state budget! ” ",big,Externe,yes
213, Dan Barna,"„Am fost azi singurul membru al Comisiei pentru politică externă din Camera Deputaților care a votat împotriva unui acord de ratificare a unui împrumut de 40 de milioane de euro pentru Jandarmerie de la Banca Internațională pentru Reconstrucție și Dezvoltare. În primul rând pe motive de oportunitate.  40 de milioane care vor trebui desigur restituiți, cu dobânzi și comisioane atașate, până în 2029.”", DECLARAȚII Externe,Adevărat,0,"""Today I was the only member of the Foreign Policy Committee in the Chamber of Deputies who voted against an agreement to ratify a 40 million euro loan for the Gendarmerie from the International Bank for Reconstruction and Development. First of all for reasons of opportunity. 40 million which will of course have to be repaid, with interest and commissions attached, by 2029. ” ",big,Externe,yes
234, Liviu Plesoianu,"„37.000 de morți din 40.000.000 de bolnavi de gripă obișnuită (câți au fost în SUA în 2019) înseamnă 0,09% mortalitate. 22 de morți din 546 infectați cu coronavirus înseamnă 4,02% mortalitate. Dacă s-ar îmbolnăvi de coronavirus câți s-au îmbolnăvit de gripă obișnuită (40.000.000), atunci 4,02% ar însemna 1.608.000 de morți. ”", DECLARAȚII Externe,Parțial Adevărat,1,"""37,000 deaths out of 40,000,000 common flu patients (how many were in the US in 2019) means 0.09% mortality. 22 deaths out of 546 infected with coronavirus means 4.02% mortality. If the number of people suffering from coronavirus (40,000,000) became infected with coronavirus, then 4.02% would mean 1,608,000 deaths. ” ",big,Externe,yes
373, Rareș Bogdan,"„În timp ce Bolojan, la Oradea, a adus 500 de milioane de euro, la Alexandria, în 12 ani, au adus un milion de euro. În timp ce Boc și Tișe au adus un miliard de euro la Cluj, în Brăila, anul trecut, PSD a adus 2.000 de euro.”", DECLARAȚII Europa,Fals,3,"""While Bolojan, in Oradea, brought 500 million euros, in Alexandria, in 12 years, they brought one million euros. While Boc and Tișe brought one billion euros to Cluj, in Brăila, last year, PSD brought 2,000 euros. ” ",big,Externe,yes
387, Viorica Dăncilă,"„[...] legat de GRECO, analizăm fiecare punct, dar cred că trebuie să se uite și la Belgia, țara din care face parte. Sunt 15 recomandări, din care a implementat doar una.”", DECLARAȚII Externe,Adevărat,0,"""[...] related to GRECO, we analyze each point, but I think we must also look at Belgium, the country to which it belongs. There are 15 recommendations, of which only one has been implemented. "" ",small,Externe,no
410, Ramona Strugariu,"„România este singura țară europeană care nu a aplicat legislația europeană în domeniul securității sociale.""", DECLARAȚII Europa,Fals,3,"""Romania is the only European country that has not applied European legislation in the field of social security."" ",small,Externe,no
415, Viorica Dăncilă,"„În timp ce noi ne chinuim să avem o preşedinţie de succes şi avem cea mai de succes preşedinţie pe care a deţinut-o un stat membru, 90 de dosare legislative închise, 1.300 de evenimente de a promova România şi a-i promova pe români, ei ce fac?”", DECLARAȚII Externe,Fals,3,"""While we are struggling to have a successful presidency and we have the most successful presidency held by a member state, 90 closed legislative files, 1,300 events to promote Romania and promote Romanians, they what I do?"" ",big,Externe,no
417, Rovana Plumb,"„Astfel, numărul salariaților din economie este la maximul ultimelor două decenii – peste 5,5 milioane. Ei ne atacă, noi muncim! """, DECLARAȚII Europa,Trunchiat,2,"""Thus, the number of employees in the economy is at the maximum of the last two decades - over 5.5 million. They are attacking us, we are working! "" ",small,Externe,yes
418, Norica Nicolai,"„Sunt două decizii ale CCR care ne spun că nu este de admis un referendum care va duce la modificarea Constituției, pentru că acolo Constituția și legile reglementează o altă procedură.”", DECLARAȚII Europa,Fals,3,"""There are two decisions of the RCC that tell us that a referendum is not allowed that will lead to the amendment of the Constitution, because there the Constitution and the laws regulate another procedure."" ",small,Externe,yes
419, Viorica Dăncilă,"„[...] mutarea unei ambasade este decisă de către preşedintele României. Părerea mea este că trebuie să existe o decizie politică. Eu am declarat în SUA, la Washington, mi-am spus punctul meu de vedere, dar dacă vă uitaţi pe declaraţia de atunci, am spus, în consens, şi cu respectarea prevederilor constituţionale.""", DECLARAȚII Externe,Trunchiat,2,"""[...] the relocation of an embassy is decided by the president of Romania. My view is that there must be a political decision. I said in the United States, in Washington, I said my point of view, but if you look at the statement then, I said, in consensus, and in compliance with the constitutional provisions. "" ",big,Externe,no
420, Maria Grapini,"„ - peste 4000 de amendamente, fiind pe primul loc în topul celor 32 de eurodeputați români - peste 600 luări de cuvânt în Parlamentul European - câștigarea premiului MepAwards19, la secțiunea Piața Internă și Protecția Consumatorului, fiind cel mai important premiu pe care îl poate primi un eurodeputat pentru activitatea din Parlamentul European.”", DECLARAȚII Europa,Adevărat,0,"„- over 4000 amendments, being on the first place in the top of the 32 Romanian MEPs - over 600 speeches in the European Parliament - winning the MepAwards19 award, in the Internal Market and Consumer Protection section, being the most important award he can receive a Member of the European Parliament for his work in the European Parliament. "" ",big,Externe,yes
