,source,text,type,category,label,English,text_size,subject,contains_name
4, Marcel Ciolacu,"„[...] din cazurile trimise la DNA în instanţă, 90% sunt achitări”", DECLARAȚII Justitie,Fals,3,"""[...] of the cases sent to DNA in court, 90% are acquittals"" ",small,Justitie,yes
59, Vlad Alexandrescu,„România este pe primul loc în topul investigațiilor privind fraudele cu fonduri europene deschise anul trecut de OLAF.”, DECLARAȚII Justitie,Adevărat,0,"""Romania is on the first place in the top of the investigations regarding the frauds with European funds opened last year by OLAF."" ",small,Justitie,yes
130, Cătălin Predoiu,"„Anii 2015-2019 au fost ani pierduți pentru modernizarea sistemului judiciar, ani de regres și parțial ratați pentru dezvoltarea Justiției. Doar 16-20% din măsurile planificate acum 4 ani au fost realizate.”", DECLARAȚII Justitie,Adevărat,0,"""The years 2015-2019 were years lost for the modernization of the judiciary, years of regression and partially missed for the development of Justice. Only 16-20% of the measures planned 4 years ago have been implemented. "" ",small,Justitie,no
139, Florica Cherecheș,"„Această tânără este o nouă victimă a aprobării Legii recursului compensatoriu, pe baza căreia au fost eliberaţi aproape 23.000 de criminali din care 1.000 sunt foşti criminali. ”", DECLARAȚII Justitie,Parțial Adevărat,1,"""This young woman is a new victim of the approval of the Law on Compensatory Appeal, on the basis of which almost 23,000 criminals have been released, of which 1,000 are former criminals. ” ",small,Justitie,yes
156, Oana Bâzgan,"„Numai în primele luni din 2020 au fost înregistrate 339 de cazuri în care persoanele condamnate pentru act sexual cu un minor au primit astfel de măsuri, iar numărul cazurilor sunt în creştere faţă de 2019 – 272 de cazuri, 2018 – 292 de cazuri , 2017 – 295 de cazuri, 2016 – 175 de cazuri, 2015 – 78 de cazuri, 2014 – 18 cazuri. De asemenea, în primele luni din 2020 au fost dispuse astfel de măsuri pentru 289 cazuri de proxenetism, 177 cazuri de pornografie infantilă şi 78 de cazuri de viol.”", DECLARAȚII Justitie,Fals,3,"""In the first months of 2020 alone, 339 cases were registered in which persons convicted of sexual intercourse with a minor received such measures, and the number of cases is increasing compared to 2019 - 272 cases, 2018 - 292 cases, 2017 - 295 cases, 2016 - 175 cases, 2015 - 78 cases, 2014 - 18 cases. Also, in the first months of 2020, such measures were ordered for 289 cases of pimping, 177 cases of child pornography and 78 cases of rape. "" ",big,Justitie,yes
168, Cosette Chichirău,„Din cauza CCR au fost închise peste 800 de dosare cu prejudicii totale de peste 4 miliarde de euro.”, DECLARAȚII Justitie,Adevărat,0,"""Because of the RCC, more than 800 cases were closed with total damages of over 4 billion euros."" ",small,Justitie,no
170, Marcel Vela,"„Am făcut o comparație cu anii 2019, 2018, 2017 și 2016, așadar ultimii patru ani. În 2020 au fost cele mai puține infracțiuni la nivel național și cele mai puține infracțiuni cu violență.”", DECLARAȚII Justitie,Adevărat,0,"""We made a comparison with the years 2019, 2018, 2017 and 2016, so the last four years. In 2020, there were the fewest crimes at the national level and the fewest violent crimes. "" ",small,Justitie,no
197, Tudorel Toader,"„Curtea Constituțională a dat o decizie şi preşedintele a revocat-o în baza acelei decizii. Că președintele n-a revocat-o în baza propunerii mele, ci decizia (sic!) Curții Constituționale. Ea este, ea se executa.”", DECLARAȚII Justitie,Adevărat,0,"""The Constitutional Court issued a decision and the president revoked it based on that decision. That the president did not revoke it based on my proposal, but the decision (sic!) Of the Constitutional Court. She is, she is executed. ” ",big,Justitie,yes
293, Marcel Ciolacu,„(...) primul proiect de lege (n.r. privind recursul compensatoriu) a fost făcut de doamna ministru al Justiției Raluca Prună”, DECLARAȚII Justitie,Adevărat,0,"""(...) the first draft law (n.r. on the compensatory appeal) was made by the Minister of Justice Raluca Prună"" ",small,Justitie,yes
346, Hilde Brandl,"„În prezent, peste 7.000 de violatori, tâlhari și criminali umblă liberi pe străzile din România, iar peste 2.000 dintre aceștia sunt liberi pentru că au fost scoși din pușcărie din cauza Recursului Compensatoriu promovat de guvernele PSD - ALDE.”", DECLARAȚII Justitie,Parțial Adevărat,1,"""Currently, over 7,000 rapists, robbers and criminals roam the streets of Romania, and over 2,000 of them are free because they were released from prison because of the Compensatory Appeal promoted by the PSD - ALDE governments."" ",big,Justitie,yes
359, Gabriela Firea,"Am rămas profund neplăcut surprinsă de faptul că aceeaşi instituţie a Avocatului Poporului, în primul rând nu a catadicsit să citească Legea Poliţiei Locale, să observe, spre exemplu, că Poliţia Locală are printre atribuţii şi rolul de a dirija circulaţia sau de a aplica anumite sancţiuni, cum ar fi contravenţii (...)", DECLARAȚII Justitie,Adevărat,0,"I was deeply unpleasant to be surprised that the same institution of the People's Advocate, in the first place, did not fail to read the Local Police Law, to observe, for example, that the Local Police has among its attributions the role of directing the traffic or applying certain sanctions. , such as contraventions (...) ",big,Justitie,yes
371, Norica Nicolai,"„[...] cu o singură excepție (Finlanda), niciun stat nu a implementat satisfăcător toate recomandările (n.r. din rapoartele Greco)”", DECLARAȚII Justitie,Parțial Adevărat,1,"""... with one exception (Finland), no state has satisfactorily implemented all the recommendations (n.r. of the Greco reports)"" ",small,Justitie,yes
374, Cătălin Rădulescu,"„[...] această lege (n.r. privind castrarea chimică a pedofililor și violatorilor) există de 60 ani în SUA, și acum în marea majoritate a țărilor europene inclusiv în R. Moldova.”", DECLARAȚII Justitie,Parțial Adevărat,1,"""[...] this law (n.r. on the chemical castration of pedophiles and rapists) has existed for 60 years in the USA, and now in the vast majority of European countries, including the Republic of Moldova."" ",small,Justitie,no
376, Carmen Dan,"„Tot în ultimii ani valorile infracționalității, la nivel național, au scăzut. S-a întâmplat și în 2017, iar 2018 a fost al 7-lea an consecutiv în care s-a înregistrat acest trend.”", DECLARAȚII Justitie,Fals,3,"""Also in recent years, the values of crime, at national level, have decreased. It also happened in 2017, and 2018 was the 7th consecutive year in which this trend was registered. ” ",small,Justitie,no
386, Aurelian Pavelescu, „În chestiunea Secției de Investigare a Infracțiunilor din Justiție [experții GRECO] nu aduc niciun argument juridic pentru care aceasta n-ar fi constituțională și necesară.”, DECLARAȚII Justitie,Fals,3,"""In the matter of the Criminal Crimes Investigation Section [GRECO experts] I do not bring any legal argument that it would not be constitutional and necessary."" ",small,Justitie,yes
389, Klaus Iohannis,"„Nu există o recomandare a Comisiei de la Veneția pentru a evita suprapuneri de scrutin. Putem, fără probleme, să organizăm referendumul odată cu alegerile prezidențiale.”", DECLARAȚII Justitie,Adevărat,0,"""There is no recommendation from the Venice Commission to avoid overlapping. We can, without problems, organize the referendum together with the presidential elections. "" ",small,Justitie,yes
412, Călin Popescu Tăriceanu,"„Comisia a precizat că pentru a atrage răspunderea penală, încălcarea legii de care e acuzat membrul Guvernului trebuie să fie clară.”", DECLARAȚII Justitie,Trunchiat,2,"""The commission said that in order to attract criminal liability, the violation of the law of which the member of the Government is accused must be clear."" ",small,Justitie,yes
416, Kelemen Hunor,"„Nu avantajează până la urmă nici pe domnul Dragnea, nici pe domnul Tăriceanu această modificare.”", DECLARAȚII Justitie,Fals,3,"""In the end, neither Mr. Dragnea nor Mr. Tariceanu benefits from this change."" ",small,Justitie,yes
423, Lia Olguța Vasilescu,"Far from ""silencing"" the courts, we have sought to eliminate any form of political or ex parte interference of any sort, creating institutional checks and balances within the justice system to give it genuine independence.", DECLARAȚII Justitie,Fals,3,"Far from ""silencing"" the courts, we have sought to eliminate any form of political or ex parte interference of any sort, creating institutional checks and balances within the justice system to give it genuine independence. ",big,Justitie,no
440, Călin Popescu Tăriceanu,"„Există și recomandări atât ale Comisiei Europene, cât și ale Comisiei de la Veneția ca alegerile europene să nu fie suprapuse, să nu fie bruiate cu alte teme (...)”.", DECLARAȚII Justitie,Fals,3,"""There are also recommendations from both the European Commission and the Venice Commission not to overlap the European elections, not to be confused with other issues (...)"". ",small,Justitie,yes
449, Șerban Nicolae,"„Dar Codul de bune practici al Comisiei de la Veneţia în materie referendară spune să nu se suprapună referendumurile cu alegerile, indiferent de tipul scrutinului.”", DECLARAȚII Justitie,Fals,3,"""But the Venice Commission's Code of Good Practice on Referendums says that referendums should not overlap with elections, regardless of the type of election."" ",small,Justitie,yes
462, Dan Barna,„Nicolicea se preface. Ştie foarte bine că Dragnea nu e premier tocmai pentru că e o lege foarte clară de pe vremea lui Năstase - pentru funcţii numite din Guvern - că nu pot fi persoane care au probleme cu cazierul. Era o gaură pe funcţiile alese.”, DECLARAȚII Justitie,Adevărat,0,"""Nicolicea is pretending. He knows very well that Dragnea is not prime minister precisely because it is a very clear law from Nastase's time - for positions appointed by the Government - that there can be no people who have problems with the criminal record. It was a hole in the chosen positions. "" ",big,Justitie,yes
467, Liviu Pop,"„[...] dacă ne aducem aminte, atunci când am chemat oamenii la vot, la referendumul pentru suspendarea președintelui Băsescu, chiar dacă am făcut-o sub tutela USL-ului și erau foarte mulți implicați, singurul care a fost condamnat pentru că a chemat oamenii la vot a fost Liviu Dragnea.”", DECLARAȚII Justitie,Fals,3,"""[...] if we remember, when we called people to vote, the referendum for the suspension of President Basescu, even if we did it under the tutelage of the USL and there were many involved, the only one who was convicted because Liviu Dragnea called the people to vote. "" ",big,Justitie,yes
475, Victor Ponta,"„[...] nu am schimbat nicio lege pentru mine, ba chiar m-am dus la proces de fiecare dată, probabil că vă aduceți aminte, la un moment dat am mers în cârje la DNA, pentru că am vrut să se termine cât mai repede.”", DECLARAȚII Justitie,Parțial Fals,2,"""[...] I didn't change any law for myself, I even went to trial every time, you probably remember, at one point I went on crutches to DNA, because I wanted it to end as soon as possible."" ",big,Justitie,yes
483, Liviu Dragnea,"“Faptul că au fost mii de dosare deschise din oficiu împotriva unor judecători pe deciziile luate, adică pe sentințele date, mie mi se pare un lucru de o gravitate foarte mare.”", DECLARAȚII Justitie,Fals,3,"""The fact that there were thousands of cases opened ex officio against some judges on the decisions taken, ie on the sentences given, seems to me to be a very serious matter."" ",small,Justitie,no
484, Tudorel Toader,„Doamna Kovesi nu a fost revocată anul trecut pentru că DNA viza politicieni corupți. A fost revocată pentru că DNA încălca legea. Curtea noastră constituțională a stabilit asta.”, DECLARAȚII Justitie,Fals,3,"""Ms. Kovesi was not fired last year because DNA targeted corrupt politicians. She was fired because DNA violated the law. Our constitutional court has ruled that. "" ",small,Justitie,yes
