,source,text,type,category,label,English,text_size,subject,contains_name
1, Ludovic Orban,"„Gândiţi-vă că în 6 ani cât a fost PSD, pe niciun proiect mare de investiții Comisia Europeană nu a aprobat finanțarea.”", DECLARAȚII Electoral,Fals,3,"""Think that in the 6 years that PSD has been, the European Commission has not approved the financing of any large investment project."" ",small,Politica,yes
3, Victor Ponta,"„La alegerile locale 700.000 de români s-au dus la vot, au pus ștampila și votul lor a fost anulat. Atenție, mai multe sunt anulate decat s-a votat în tot Bucureștiul.”", DECLARAȚII Electoral,Fals,3,"""In the local elections, 700,000 Romanians went to the polls, put the stamp and their vote was canceled. Attention, more are canceled than voted in all of Bucharest. "" ",small,Politica,no
10, Cristian Seidler,"„Pensiile speciale pentru aleșii locali – toți primarii, viceprimarii, președinții și vicepreședinții de consilii județene din 1992 până la sfârșitul lumii – au fost introduse prin Codul Administrativ de Guvernul Dăncilă care l-a adoptat prin Ordonanță de Urgență. Avocatul Poporului nu a atacat la CCR articolul referitor la aceste pensii speciale, așa cum i-a solicitat USR, deși CCR s-a exprimat anterior pe texte identice decizând că sunt neconstituționale.”", DECLARAȚII Electoral,Adevărat,0,"""Special pensions for local elected officials - all mayors, deputy mayors, presidents and vice presidents of county councils from 1992 to the end of the world - were introduced by the Administrative Code of the Dăncilă Government which adopted it by Emergency Ordinance. The People's Advocate did not attack at CCR the article regarding these special pensions, as requested by USR, although CCR previously expressed itself on identical texts deciding that they are unconstitutional. "" ",big,Politica,yes
16, Gabriela Firea,„Avem în premieră 65.000 de voturi nule în Capitală. Aproape 10% din voturile exprimate. Să înţelegem că oamenii nu ştiu să voteze sau mâzgălesc buletinele de vot?”, DECLARAȚII Electoral,Fals,3,"""We have for the first time 65,000 null votes in the Capital. Almost 10% of the votes cast. Do we understand that people do not know how to vote or scribble ballots? ” ",small,Politica,yes
25, Robert Sighiartău,"„Se vede foarte clar că oamenii au înțeles că PSD nu a reușit să facă absolut nimic pentru comunitățile lor, acolo unde au condus. Dacă puneți harta (conducerilor PSD în județe) suprapusă cu harta indicatorilor economici, inclusiv a veniturilor pe cap de locuitor, o să vedeți că lucrurile sunt de aceeași culoare”", DECLARAȚII Electoral,Adevărat,0,"""It is very clear that people understood that PSD failed to do absolutely anything for their communities, where they led. If you put the map (of the PSD leaders in the counties) superimposed with the map of economic indicators, including per capita income, you will see that things are the same color ” ",big,Politica,yes
26, Klaus Iohannis,"„Deci, în mod uzual - și asta nu numai la noi, și în țările cu democrații mai consolidate, mai rodate - marea majoritate a membrilor guvernului sunt și parlamentari.”", DECLARAȚII Electoral,Parțial Adevărat,1,"""So, usually - and not only in our country, and in countries with more consolidated, more established democracies - the vast majority of government members are also parliamentarians."" ",small,Politica,yes
35, Rareș Bogdan,„Am câştigat cele mai mari judeţe din România.”, DECLARAȚII Electoral,Adevărat,0,"""We won the largest counties in Romania."" ",small,Politica,no
36, Siegfried Mureșan,"„În județul Brașov continuăm după alegeri ceea ce am început înainte de alegeri. Aeroportul din Brașov prinde contur, lucrările arată foarte bine! Felicitări lui Adrian Ioan Veştea care construiește primul aeroport de la zero în România din ultimii 50 de ani.”", DECLARAȚII Electoral,Adevărat,0,"""In Brașov County, we continue after the elections what we started before the elections. Brasov Airport takes shape, the works look very good! Congratulations to Adrian Ioan Veştea who is building the first airport from scratch in Romania in the last 50 years. ” ",big,Politica,yes
37, Adrian Mocanu,"„PMP este singurul partid din România care susține reducerea numărului de parlamentari la 300, așa cum au votat la referendum 8 milioane de români.”", DECLARAȚII Electoral,Fals,3,"""PMP is the only party in Romania that supports reducing the number of parliamentarians to 300, as 8 million Romanians voted in the referendum."" ",small,Politica,yes
41, Vlad Alexandrescu,"„Tăriceanu declară că, din poziția dorită de Primar al Bucureștiului, vrea să dărâme zidurile Parlamentului Poate e bine ca cineva să le spună celor din ALDE că Tăriceanu a fost președintele Senatului în două legislaturi. Poziția din care putea să ceară eliminarea zidurilor Parlamentului și susținerea parcului Uranus. (...) Să îl mai informeze cineva pe domnul Tăriceanu că nu Primăria București poate lua o astfel de decizie, ci președinții celor două camere ale Parlamentului, ca proprietari ai terenului.”", DECLARAȚII Electoral,Parțial Adevărat,1,"""Tariceanu declares that, from the position desired by the Mayor of Bucharest, he wants to tear down the walls of the Parliament. Maybe it is good for someone to tell those from ALDE that Tariceanu was the president of the Senate in two legislatures. The position from which he could demand the removal of the walls of Parliament and the support of Uranus Park. (...) Let someone else inform Mr. Tariceanu that it is not the Bucharest City Hall that can make such a decision, but the presidents of the two chambers of the Parliament, as owners of the land. ” ",big,Politica,yes
