,source,text,type,category,label,English,text_size,subject,contains_name
5, Marcel Ciolacu,"„20 de ani din cei 30 de democrație românească, Ministerul Sănătății a fost condus de către miniștri ai Partidului Național Liberal”", DECLARAȚII Sanatate,Fals,3,"""20 years out of the 30 Romanian democracies, the Ministry of Health was led by ministers of the National Liberal Party"" ",small,SanatateMediu,yes
19, Mihai Tudose,"„Datele centralizate pentru 2017 de Comisia Europeană indicau penuria de medici și asistente medicale: aveam 2,9 medici la mia de locuitori, a treia cea mai mică cifră din UE (media UE era de 3,6 medici) și 6,7 asistente/1.000 locuitori (sub media UE de 8,5).”", DECLARAȚII Sanatate,Adevărat,0,"""Centralized data for 2017 by the European Commission indicated the shortage of doctors and nurses: we had 2.9 doctors per thousand inhabitants, the third lowest figure in the EU (EU average was 3.6 doctors) and 6.7 nurses / 1,000 inhabitants (below the EU average of 8.5). ” ",big,SanatateMediu,yes
20, Dorel Covaci,"„Pe întreg teritoriul României, constituțional, au ”dreptul de a fi aleși cetățenii cu drept de vot, care îndeplinesc condițiile prevăzute în art.16(3) (…..)"", adică: - art.16(3) - ”Funcțiile și demnitățile publice, civile sau militare, pot fi ocupate, în condițiile legii, de persoanele care au cetățenia română și domiciliul în țară. (....)” Conform informațiilor din mass-media, candidatul USR-PLUS Dominic Samuel Fritz NU are cetățenia română și domiciliul în România.”", DECLARAȚII Sanatate,Fals,3,"""On the entire territory of Romania, constitutionally, they have"" the right to be elected citizens with the right to vote, who meet the conditions provided in art.16 (3) (… ..) "", ie: - art.16 (3) -"" Public positions and dignities, civil or military, may be held, in accordance with the law, by persons who have Romanian citizenship and domicile in the country. (....) ""According to media reports, USR-PLUS candidate Dominic Samuel Fritz NO has Romanian citizenship and domicile in Romania. "" ",big,SanatateMediu,yes
53, Dominic Samuel Fritz,"„În timp ce Comisia Europeană recomandă 26 mp de spațiu verde pe cap de locuitor, iar Organizația Mondială a Sănătății, 50 de mp, Timișoara, oferă doar 16 mp. Suntem la coada clasamentului în România.”", DECLARAȚII Mediu,Fals,3,"""While the European Commission recommends 26 sqm of green space per capita, and the World Health Organization, 50 sqm, Timisoara, offers only 16 sqm. We are at the bottom of the ranking in Romania. "" ",small,SanatateMediu,yes
72, Vergil Chițac,"„Uniunea Europeană cere tuturor orașelor din componență să aibă minimum 26 de mp de spațiu verde pe cap de locuitor. Pentru sănătatea oamenilor și igienizarea aerului. În Constanța, suntem la jumătatea acestei ținte, cu doar 13 mp/capita.”", DECLARAȚII Mediu,Parțial Adevărat,1,"""The European Union requires all cities to have at least 26 square meters of green space per capita. For human health and air sanitation. In Constanța, we are halfway to this target, with only 13 sqm / capita. ” ",big,SanatateMediu,yes
85, Nicușor Dan,„Sectorul 2 are cei mai puțini metri pătrați de spațiu verde pe cap de locuitor.”, DECLARAȚII Mediu,Adevărat,0,"""Sector 2 has the fewest square meters of green space per capita."" ",small,SanatateMediu,no
86, Ludovic Orban,"„Încă din 2018, Curtea de Conturi v-a atras atenţia asupra faptului că nu aţi constituit stocurile strategice, deşi aţi avut excedent la buget pentru constituirea bugetului de măşti, echipamente, substanţe, dezinfectant.”", DECLARAȚII Sanatate,Adevărat,0,"""Since 2018, the Court of Accounts has drawn your attention to the fact that you did not build up the strategic stocks, although you had a budget surplus to build up the budget for masks, equipment, substances, disinfectant."" ",small,SanatateMediu,yes
91, Costel Alexe,"„La capitolul păduri virgine şi cvasivirgine, stăm cel mai bine din Europa. Avem două treimi din pădurile virgine şi cvasivirgine ale Europei. La preluarea mandatului, erau doar 28.000 de hectare introduse în catalog, astăzi suntem la 35.000 hectare.”", DECLARAȚII Mediu,Fals,3,"""In terms of virgin and quasi-virgin forests, we are the best in Europe. We have two-thirds of Europe's virgin and quasi-virgin forests. At the time of taking office, only 28,000 hectares were included in the catalog, today we are at 35,000 hectares. "" ",big,SanatateMediu,no
148, Florin Roman,"„Este absurd să auzi PSD că acuză tunurile din Sănătate date de liberali, când aleșii locali ai PSD controlează majoritatea spitalelor din România.”", DECLARAȚII Sanatate,Trunchiat,2,"""It is absurd to hear PSD accuse the Health cannons given by the Liberals, when the local PSD elected officials control most of the hospitals in Romania."" ",small,SanatateMediu,yes
167, Nicușor Dan,"„Există o lege foarte bună dată în România, în anul 2007, tot așa sub presiunea UE, care spune că nu ai voie să construiești pe spațiul verde. Acolo, așa cum am spus, Planul Urbanistic al Bucureștiului, făcut în 2000, spune că pe malul apei, pe malul lacurilor din zona de nord, 50 de metri de la mal e spațiu verde. Nu ai voie să construiești”.", DECLARAȚII Mediu,Adevărat,0,"""There is a very good law given in Romania, in 2007, also under EU pressure, which says that you are not allowed to build on green space. There, as I said, the Urban Plan of Bucharest, made in 2000, says that on the waterfront, on the shores of lakes in the north, 50 meters from the shore is green space. You are not allowed to build ”. ",big,SanatateMediu,yes
183, Lia Olguța Vasilescu,"„Câte spitale a construit Ministerul Sănătății după revoluție? Răspuns final: niciunul! Singurele trei spitale construite în România după 1989 au fost cele de la Craiova, București și Mioveni, toate gestionate de administrațiile locale.”", DECLARAȚII Sanatate,Fals,3,"""How many hospitals did the Ministry of Health build after the revolution? Final answer: none! The only three hospitals built in Romania after 1989 were those in Craiova, Bucharest and Mioveni, all managed by local administrations. ” ",small,SanatateMediu,yes
184, Marcel Ciolacu,"„Și președintele Iohannis a promis cadrelor medicale un stimulent de 500 de euro. Guvernul PNL însă nu a respectat promisiunea, drept dovadă că nici acum, după 2 luni de zile, niciun medic nu a primit banii promiși cu atâta tam-tam. Aceasta este diferența dintre ei și PSD! Când promitem, facem! Ei doar promit, de făcut uită…”", DECLARAȚII Sanatate,Fals,3,"""President Iohannis also promised medical staff an incentive of 500 euros. However, the PNL government did not keep the promise, as proof that even now, after 2 months, no doctor received the promised money with so much fuss. This is the difference between them and PSD! When we promise, we do! They just promise, forget it… ” ",big,SanatateMediu,yes
185, Corneliu Buicu,"„De ce bugetul Sănătății a fost mai mic cu 23%, deși se știa de epidemie?”", DECLARAȚII Sanatate,Trunchiat,2,"""Why was the Health budget 23% smaller, even though the epidemic was known?"" ",small,SanatateMediu,no
190, Costel Alexe,"„Potrivit legii, primarul este responsabil de îndeplinirea planului de calitate a aerului de care a depins această condamnare a României”", DECLARAȚII Mediu,Trunchiat,2,"""According to the law, the mayor is responsible for fulfilling the air quality plan on which this condemnation of Romania depended"" ",small,SanatateMediu,yes
215, Gabriela Firea,"„Este ştiut faptul că spre exemplu în Bucureşti, (...), de trei ani de zile spitalele care aparţin Primăriei Capitalei sunt mult mai dotate, s-au făcut investiţii anual de 100 de milioane de euro în toate spitalele (...). """, DECLARAȚII Sanatate,Fals,3,"""It is known that for example in Bucharest, (...), for three years the hospitals belonging to the Capital City Hall are much more equipped, investments of 100 million euros have been made annually in all hospitals (... ). "" ",big,SanatateMediu,yes
228, Cosette Chichirău,"„Avem de departe cel mai mare număr de cadre medicale infectate din toate state care trec prin pandemie, aproape 15% din cazurile confirmate față de Italia cu 9%! ”", DECLARAȚII Sanatate,Parțial Adevărat,1,"""We have by far the largest number of infected medical staff in all states going through a pandemic, almost 15% of confirmed cases compared to Italy with 9%! ” ",small,SanatateMediu,yes
232, Costel Alexe,"„Aş vrea să vă spun că, în Maramureş, la Ocolul Sighet, a fost descoperită poate cea mai mare tăiere ilegală din România, în ultimii cinci ani.”", DECLARAȚII Mediu,Parțial Adevărat,1,"""I would like to tell you that, in Maramureş, at Ocolul Sighet, perhaps the largest illegal logging in Romania has been discovered in the last five years."" ",small,SanatateMediu,no
233, Claudiu Nasui,„Cheltuielile pe sănătate au crescut de peste 3.5 ori în ultimii 12 ani. Asta în timp ce numărul de pacienți a scăzut cu 16%.”, DECLARAȚII Sanatate,Trunchiat,2,"""Health spending has increased more than 3.5 times in the last 12 years. This is while the number of patients has decreased by 16%. "" ",small,SanatateMediu,yes
236, Costel Alexe,"„Planul integrat de calitate al aerului din Bucureşti are 20 de măsuri, din care până acum şase nu au fost implementate deloc.”", DECLARAȚII Mediu,Adevărat,0,"""The integrated air quality plan in Bucharest has 20 measures, of which six have not been implemented so far."" ",small,SanatateMediu,no
252, Ludovic Orban,„Coplata și contribuțiile financiare în unitățile spitalicești private a fost introdusă de PSD.”, DECLARAȚII Sanatate,Adevărat,0,"""The co-payment and financial contributions in the private hospital units were introduced by PSD."" ",small,SanatateMediu,yes
255, Gabriela Firea,„Sunt singurul primar care am făcut un plan integrat de calitate de aerului.”, DECLARAȚII Mediu,Fals,3,"""I am the only mayor who has made an integrated air quality plan."" ",small,SanatateMediu,no
266, Raluca Turcan,„Avem cea mai ridicată rată a mortalității din cauze tratabile la nivelul UE.”, DECLARAȚII Sanatate,Adevărat,0,"""We have the highest mortality rate from treatable causes at EU level."" ",small,SanatateMediu,yes
269, Gabriela Firea,",,Avem din ce în ce mai multe mașini proprietate personală de aproape unică folosință, este un fapt îngrijorător.”", DECLARAȚII Mediu,Adevărat,0,"""We have more and more personal property cars that are almost disposable, it's a worrying fact."" ",small,SanatateMediu,no
270, Vlad Voiculescu,",,Avem cel mai slab finanțat sistem de sănătate din Uniunea Europeană.”", DECLARAȚII Sanatate,Adevărat,0,"""We have the lowest funded health care system in the European Union."" ",small,SanatateMediu,yes
273, Marian Oprișan,"„Vrâncenii îi mulțumesc Guvernului Orban (PNL) pentru că a tăiat 6 milioane lei (60 miliarde lei vechi) din bugetul de aparatură medicală la Spitalul Județean de Urgență Sfântul Pantelimon, Focșani!”", DECLARAȚII Sanatate,Fals,3,"""The people of Vrancea thank the Orban Government (PNL) for cutting 6 million lei (60 billion old lei) from the medical equipment budget at the Sfântul Pantelimon County Emergency Hospital, Focșani!"" ",small,SanatateMediu,yes
276, Nicușor Dan,"“Din datele oficiale ale Ministerului Mediului emise în 2015 şi 2018, Bucureştiul este cel mai poluat oraş al României, având 5 poluanţi cu potenţial cancerigen în aerul respirat (benzen, oxid şi monoxid de azot, particule fine 10 şi 2.5).”", DECLARAȚII Mediu,Adevărat,0,"""From the official data of the Ministry of Environment issued in 2015 and 2018, Bucharest is the most polluted city in Romania, with 5 pollutants with carcinogenic potential in the breathed air (benzene, oxide and nitrogen monoxide, fine particles 10 and 2.5)."" ",big,SanatateMediu,yes
282, Gabriela Firea,"„(...) valoarea concentrației medii anuale permisă de Comisia Europeană, respectiv 40 micrograme/mc, care NU a mai fost depășită în perioada 2016-2019 la niciuna din stațiile de monitorizare din regiunea București – Ilfov.”", DECLARAȚII Mediu,Trunchiat,2,"""(...) the value of the average annual concentration allowed by the European Commission, respectively 40 micrograms / cubic meter, which was NOT exceeded in the period 2016-2019 at any of the monitoring stations in the Bucharest - Ilfov region."" ",small,SanatateMediu,yes
292, Klaus Iohannis,O cantitate egală de lemn cu cea care se taie legal se taie și ilegal, DECLARAȚII Mediu,Adevărat,0,An equal amount of wood that is legally cut is also cut illegally ,small,SanatateMediu,no
295, Victor Costache,„Numai o parte din statele membre ale UE au impus vaccinarea.”, DECLARAȚII Sanatate,Adevărat,0,"""Only some EU member states have required vaccination."" ",small,SanatateMediu,yes
296, Cristina Prună,",,Să nu uităm că UE este responsabilă doar de 9% din cantitatea de emisii de carbon din întreaga lume.”", DECLARAȚII Mediu,Adevărat,0,"""Let's not forget that the EU is responsible for only 9% of the world's carbon emissions."" ",small,SanatateMediu,yes
307, Viorica Dăncilă,"„Întrebați-i pe cei de la spitalul de la Săcele, spital închis de guvernarea PNL-PDL și deschis în 2017 de guvernarea PSD.”", DECLARAȚII Sanatate,Trunchiat,2,"""Ask those at the hospital in Sacele, a hospital closed by the PNL-PDL government and opened in 2017 by the PSD government."" ",small,SanatateMediu,yes
338, Sorina Pintea,"„Președintele poate să numească un ministru interimar pentru două zile, astfel încât, aceste ordine să poată fi semnate.”", DECLARAȚII Sanatate,Fals,3,"""The president may appoint an interim minister for two days so that these orders can be signed."" ",small,SanatateMediu,yes
406, Cristian Bușoi,„Bucureștiul este cea mai poluată capitală din Europa.”, DECLARAȚII Mediu,Trunchiat,2,"""Bucharest is the most polluted capital in Europe."" ",small,SanatateMediu,no
427, Antoneta Ioniță,"„(...) cu aproximativ 48.300 de decese cauzate anual de cancer, România se situează mult peste media Uniunii Europene şi se menţine cu cele mai înalte rate de incidenţă şi mortalitate prin cancer de col uterin din spaţiul european.”", DECLARAȚII Sanatate,Parțial Adevărat,1,"""(...) with approximately 48,300 deaths caused annually by cancer, Romania is well above the European Union average and maintains the highest incidence and mortality rates of cervical cancer in Europe."" ",big,SanatateMediu,no
466, Vlad Voiculescu,"„În 2016 am schimbat legislația în materie astfel încât managerii să raporteze infecțiile nosocomiale. Vedeți că din 2016 raportarea a început să crească. Ceea ce vedem, însă, este în continuare, la o fracțiune din realitate.”", DECLARAȚII Sanatate,Adevărat,0,"""In 2016, we changed the relevant legislation so that managers can report nosocomial infections. You can see that since 2016 the reporting has started to increase. What we see, however, is still a fraction of reality. "" ",big,SanatateMediu,no
478, Viorica Dăncilă,„Bugetul pe anul 2019 prevede cea mai mare alocare de fonduri pentru Sănătate din întreaga istorie a României.”, DECLARAȚII Sanatate,Parțial Fals,2,"""The 2019 budget provides for the largest allocation of funds for health in the entire history of Romania."" ",small,SanatateMediu,no
502, Vlad Voiculescu,"„Spitalele noastre funcționează cu 80% - 90% din buget mergând pentru costurile de personal. Dacă 80% - 90% din bugetul unui spital merge către cheltuielile de personal, atunci nu ai bani de echipamente, dar nu ai bani nici să funcționeze acele echipamente, nu ai bani de dezinfectant, nu ai bani de medicamente, nu ai bani de toate celelalte.”", DECLARAȚII Sanatate,Parțial Adevărat,1,"""Our hospitals operate with 80% - 90% of the budget going for staff costs. If 80% - 90% of a hospital's budget goes to staff costs, then you don't have money for equipment, but you don't have money to operate that equipment either, you don't have money for disinfectant, you don't have money for medicines, you don't have money for everything other."" ",big,SanatateMediu,yes
504, Sorina Pintea,"Bugetul Ministerului Sănătății și al Casei Naționale de Asigurări de Sănătate ajunge anul acesta la 4,84% din Produsul Intern Brut, ceea ce înseamnă o creștere istorică. Bugetul pentru investiții a crescut cu 84%, ceea ce înseamnă că există bani pentru achiziționarea de aparatură medicală și pentru renovarea spitalelor care necesită acest lucru.", DECLARAȚII Sanatate,Parțial Fals,2,"The budget of the Ministry of Health and the National Health Insurance House reaches 4.84% of the Gross Domestic Product this year, which means a historical increase. The investment budget has increased by 84%, which means that there is money for the purchase of medical equipment and for the renovation of hospitals that need it. ",big,SanatateMediu,yes
509, Victor Ponta,"„Viitorul arată bine: cel mai mare curs Euro - Leu din istorie, cel mai mare preț al energiei din Europa, cea mai mare inflație din ultimii 20 de ani, cele mai mici investiții publice după anul 2010, cei mai puțini bani la sănătate și educație.”", DECLARAȚII Sanatate,Parțial Fals,2,"""The future looks good: the highest Euro-Leo exchange rate in history, the highest energy price in Europe, the highest inflation in the last 20 years, the lowest public investment since 2010, the least money for health and education."" ",big,SanatateMediu,no
510, USR,România se numără printre țările cu cea mai scăzută rată de vaccinare antigripală din Europa: 5.2%!, DECLARAȚII Sanatate,Adevărat,0,Romania is among the countries with the lowest flu vaccination rate in Europe: 5.2%! ,small,SanatateMediu,no
562, Grațiela Gavrilescu,"În ceea ce privește atacurile urșilor din zonă, au fost identificate mai multe cauze, unele fiind obiective, ca, de exemplu, încălzirea globală, cu efectele climatice cunoscute, care au condus la micșorarea perioadei de hibernare a urșilor și la evidente modificări de comportament. Sunt, însă, și cauze subiective, precum culegerea necontrolată a fructelor de pădure. [...] Din păcate, o altă cauză este, însă, și scăparea de sub orice control a acestei probleme în cele 400 de zile de guvernare tehnocrată, în care nu s-a făcut absolut nimic pentru gestionarea ei, proiectele bune începute înainte de 2016 fiind stopate în totalitate.”", DECLARAȚII Mediu,Parțial Fals,2,"Regarding the attacks of bears in the area, several causes have been identified, some of which are objective, such as global warming, with known climatic effects, which have led to a reduction in the hibernation period of bears and obvious changes in behavior. However, there are also subjective causes, such as the uncontrolled collection of berries. [...] Unfortunately, another cause is, however, the escape from any control of this problem in the 400 days of technocratic rule, in which absolutely nothing was done to manage it, the good projects started before 2016 being completely stopped. ” ",big,SanatateMediu,no
586, Grațiela Gavrilescu,"Ploieștiul riscă să intre în procedură de infringement dacă domnul primar nu va supune, prin ordine de zi, deci hotărâre de consiliu, pentru a implementa un plan de măsuri pe calitatea aerului", DECLARAȚII Mediu,Parțial Fals,2,"Ploiești risks entering into infringement proceedings if the mayor does not submit, by agenda, so council decision, to implement a plan of measures on air quality ",small,SanatateMediu,no
651, Raed Arafat,"Asistăm la un moment istoric, în care pompierii și situațiile de urgență în general sunt considerate de importanță strategică pentru populație și pentru țară. La nivel național, s-au alocat fonduri fără precedent și aici vorbesc de aproape 600 de milioane de euro alocate situațiilor de urgență de către Guvern. Premierul a decis să le aloce din fonduri europene, să ne permită să ne dotăm cu tot ce este nevoie, să eliminăm tot ce este mai vechi de 30 de ani, de 25 de ani, să venim mai aproape și mai eficient de populație.", DECLARAȚII Sanatate,Fals,3,"We are witnessing a historic moment, in which firefighters and emergencies in general are considered of strategic importance for the population and for the country. At the national level, unprecedented funds have been allocated and here I am talking about almost 600 million euros allocated to emergencies by the Government. The prime minister decided to allocate them from European funds, to allow us to equip ourselves with everything we need, to eliminate everything that is older than 30 years, 25 years old, to come closer and more efficiently to the population. ",big,SanatateMediu,yes
662, Traian Băsescu,"Probabil a venit timpul ca oamenii politici să decidă ce fel de dezvoltare vom avea în continuare, continuăm să mai poluăm atmosfera, să distrugem stratul de ozon în ritmul în care am făcut-o până acum sau cădem toți la o înțelegere că trebuie să reducem emisiile de carbon în atmosferă? Din păcate, SUA s-au retras din Acordul de la Paris, prin care se stabilea reducerea de noxe, SUA fiind unul dintre marii poluatori ai lumii.", DECLARAȚII Mediu,Parțial Fals,2,"Probably the time has come for politicians to decide what kind of development we will have next, to continue polluting the atmosphere, to destroy the ozone layer at the rate we have done so far, or we all come to an agreement that we need to reduce emissions. carbon in the atmosphere? Unfortunately, the United States withdrew from the Paris Agreement, which established the reduction of pollutants, the United States being one of the world's major polluters. ",big,SanatateMediu,no
725, Eugen Tomac,"Anual, 60.000 de cetățeni care pot fi tratați în spitalele din România mor (pentru că nu avem un sistem funcțional, n.n.)", DECLARAȚII Sanatate,Adevărat,0,"Annually, 60,000 citizens who can be treated in Romanian hospitals die (because we do not have a functional system, n.n.) ",small,SanatateMediu,yes
744, Vasile DÃ¢ncu,Sistemul de sănătate este unul special. Am schimbat 19 miniștri din 1990 încoace., DECLARAȚII Sanatate,Fals,3,The health system is a special one. We have changed 19 ministers since 1990. ,small,SanatateMediu,no
749, Nicolae Bănicoiu,Când eram ministru am finalizat un spital la Iași - Institutul Oncologic Regional(...), DECLARAȚII Sanatate,Parțial Fals,2,When I was a minister I completed a hospital in Iași - the Regional Oncological Institute (...) ,small,SanatateMediu,yes
770, Liviu Dragnea,De când e Gabi Firea primar nu s-a tăiat niciun pom., DECLARAȚII Mediu,Fals,3,No tree has been cut down since Gabi Firea became mayor. ,small,SanatateMediu,yes
783, Cristina Pocora,Am susținut (n.r. - PNL) amendamente la bugetul României pentru finanțarea unui spital generalist în sectorul 3., DECLARAȚII Sanatate,Fals,3,I supported (n.r. - PNL) amendments to the Romanian budget for the financing of a general hospital in sector 3. ,small,SanatateMediu,yes
791, Gabriela Firea,"Primăria poate interveni direct în organizarea și managementul spitalelor, prin reprezentanții primariei din consiliul de administrație.", DECLARAȚII Sanatate,Parțial Adevărat,1,"The mayor's office can intervene directly in the organization and management of the hospitals, through the representatives of the mayor's office from the board of directors. ",small,SanatateMediu,yes
816, Daniel Barbu,"În prezent, pe medie desigur, pentru că nu toate spitalele bucureștene sunt egale ca număr de paturi și complexitate a actelor medicale pe care le pun în operă, dar în medie fiecare spital primește circa 2 milioane de euro pe an, din care 60% de la primărie și 40% din sistemul național de sănătate.", DECLARAȚII Sanatate,Fals,3,"Currently, on average, of course, because not all hospitals in Bucharest are equal in number of beds and complexity of the medical documents they perform, but on average each hospital receives about 2 million euros per year, of which 60% at the mayor's office and 40% of the national health system. ",big,SanatateMediu,no
833, Vasilica Miron,"Legea este mult prea drastică, este cea mai drastică din Europa.", DECLARAȚII Sanatate,Parțial Adevărat,1,"The law is far too drastic, it is the most drastic in Europe. ",small,SanatateMediu,no
