,source,text,type,category,label,English,text_size,subject,contains_name
0, Ludovic Orban,"„În ceea ce privește rata șomajului, din nou vă indic să vă informați din surse oficiale; rata șomajului în Europa este de 7,5%, în timp ce rata şomajului în România, care este în scădere, după datele statistice prezentate, este de 5,2%.”", DECLARAȚII Munca,Adevărat,0,"""Regarding the unemployment rate, again I suggest you to be informed from official sources; the unemployment rate in Europe is 7.5%, while the unemployment rate in Romania, which is declining, according to the statistical data presented, is 5.2%. ” ",big,Social,no
27, Brigitte Clotilde Armand,„90% din școlile Sectorului 1 nu au avizul ISU.”, DECLARAȚII Educatie,Adevărat,0,"""90% of Sector 1 schools do not have an ISU approval."" ",small,Social,yes
34, Raluca Turcan,"„Guvernul a alocat 175 de milioane de euro din fonduri europene pentru achiziția de tablete, dezinfectanți, măști și chiar containere ecologice acolo unde nu există apă curentă sau toalete în școli.”", DECLARAȚII Educatie,Adevărat,0,"""The government has allocated 175 million euros from European funds for the purchase of tablets, disinfectants, masks and even environmentally friendly containers where there is no running water or toilets in schools."" ",small,Social,yes
50, Eusebiu Pistru,"„În timpul guvernării PSD, în 2018, rata abandonului școlar timpuriu a ajuns la cel mai scăzut nivel din ultimii 10 ani.”", DECLARAȚII Educatie,Parțial Adevărat,1,"""During the PSD government, in 2018, the early school leaving rate reached the lowest level in the last 10 years."" ",small,Social,yes
57, Violeta Alexandru,"„(Gabriela Firea - n.r) oricum nu are atribuții legate de școli, organizarea în București fiind complet diferită, în acest domeniu, față de restul țării. Legea educației naționale este foarte clară. Singura atribuție a Primăriei Capitalei este legată de școlile din sistemul de învățământ special. Aștept să văd cum vor fi acestea puse la punct. Restul unităților de învățământ – la sectoare.”", DECLARAȚII Educatie,Trunchiat,2,"„(Gabriela Firea - n.r) does not have attributions related to schools anyway, the organization in Bucharest being completely different, in this field, from the rest of the country. The law on national education is very clear. The only attribution of the Capital City Hall is related to the schools in the special education system. I'm waiting to see how they are set up. The rest of the educational units - by sectors. ” ",big,Social,yes
61, Nicușor Dan,"„Lucrul cel mai grav este faptul că avem 15 şcoli, care nu pot să fie deschise, pentru că nu s-au terminat lucrările în ele. Asta mi se pare incalificabil”", DECLARAȚII Educatie,Parțial Adevărat,1,"""The worst thing is the fact that we have 15 schools, which cannot be opened, because the works in them have not been finished. That seems incalculable to me. "" ",small,Social,no
63, Theodora Șotcan,"„Datele INS arată clar dezastrul din piața muncii: șomajul a ajuns la 5,4%, adică mai mare cu 75% față de nivelul lăsat la finalul lui 2019 de guvernarea PSD!”", DECLARAȚII Munca,Trunchiat,2,"""INS data clearly show the disaster in the labor market: unemployment has reached 5.4%, ie 75% higher than the level left at the end of 2019 by the PSD government!"" ",small,Social,yes
82, Ludovic Orban,"„Minciuna gogonată privitoare la salariul net, că a scăzut salariul net. Păi depinde cum compari; dacă compari mere cu pere, niciodată nu se face comparație - o lună din an raportată la luna decembrie.(...)Calculul se face lună la lună; luna iunie a anului 2020 raportat la luna iunie a anului 2019. Dacă facem această comparație - și este foarte important pentru oameni să știe - în România salariul mediu net în iunie 2020 este de 3.298 de lei, iar în iunie 2019, când era la putere PSD, în creștere economică, fără pandemie, fără criză economică, an în care practic a fost o conjunctură economică extrem de favorabilă, salariul mediu net în iunie 2019 era 3.142.”", DECLARAȚII Munca,Adevărat,0,"""The big lie about the net salary is that the net salary has decreased. Well, it depends on how you compare; if you compare apples to pears, you never make a comparison - one month of the year compared to December. (...) The calculation is made month by month; June 2020 compared to June 2019. If we make this comparison - and it is very important for people to know - in Romania the average net salary in June 2020 is 3,298 lei, and in June 2019, when he was in power PSD, in economic growth, without pandemic, without economic crisis, year in which it was practically an extremely favorable economic situation, the average net salary in June 2019 was 3,142. ” ",big,Social,yes
84, Ludovic Orban,"„Numărul de angajaţi cu contracte de muncă: pe data de 3 august - 5.589.437 de angajaţi. La 1 ianuarie, înainte de declanşarea economiei, numărul de angajaţi era de 5.582.008. Sunt date luate din Revisal, dacă Revisal minte. Sunt angajaţi mai mulţi, cu 7.340.”", DECLARAȚII Munca,Parțial Adevărat,1,"„Number of employees with employment contracts: on August 3 - 5,589,437 employees. On January 1, before the economy started, the number of employees was 5,582,008. Data taken from Revisal, if Revisal is lying. There are more employees, with 7,340. ” ",big,Social,yes
89, Claudiu Nasui,"„Din fiecare sută de lei muncită, statul ia românilor aproape 50 de lei. Salariatul român obișnuit suportă o povară fiscală estimată de 46,32% din ce câștigă, conform unui studiu publicat recent.”", DECLARAȚII Munca,Adevărat,0,"""Out of every hundred lei worked, the state takes almost 50 lei from the Romanians. The average Romanian employee bears an estimated tax burden of 46.32% of what he earns, according to a recently published study. ” ",small,Social,no
90, Ludovic Orban,"„Eu cred că trebuie fundamentate mai bine ştirile.(...)Este adevărat că a scăzut un pic mai mult numărul de contracte de muncă, dar numărul de contracte de muncă nu se referă la numărul de angajaţi(...)Eu vă dau date luate din REVISAL. La data de 20 iulie, raportat la 1 ianuarie 2020, numărul de angajaţi cu contracte de muncă a fost mai mic doar cu 648. Date oficiale din REVISAL.”", DECLARAȚII Munca,Trunchiat,2,"""I think the news needs to be better substantiated. (...) It is true that the number of employment contracts has decreased a little more, but the number of employment contracts does not refer to the number of employees (...) give data taken from REVISAL. On July 20, compared to January 1, 2020, the number of employees with employment contracts was lower by only 648. Official data from REVISAL. "" ",big,Social,yes
103, Petre Florin Manole,"„Salariul mediu net: a scăzut. Dacă aveai 3340 lei în decembrie 2019, acum ai 3179 lei.”", DECLARAȚII Munca,Adevărat,0,"""Average net salary: decreased. If you had 3340 lei in December 2019, now you have 3179 lei. ” ",small,Social,no
117, Mihai Fifor,"„Muncesc mult, bine, cu productivitate bună, dar sunt prost plătiți. Aceasta este caracteristica angajatului român relevată de Eurostat, în comparație cu restul UE. Angajatul român are un cost mediu orar de 7,7 euro, în timp ce media europeană este de 27,7 euro/h, adică de peste 3,5 ori mai mare. Deci la capitolul salariu, românii sunt la 28% din media europeană. În schimb productivitatea salariaților români este la 69% din media europeană. Este clar că angajații români sunt mult mai prost plătiți în raport cu productivitatea realizată, iar România continuă să fie țara cu a doua cea mai ieftină forță de muncă din Europa.”", DECLARAȚII Munca,Trunchiat,2,"""I work a lot, well, with good productivity, but they are poorly paid. This is the characteristic of the Romanian employee revealed by Eurostat, compared to the rest of the EU. The Romanian employee has an average hourly cost of 7.7 euros, while the European average is 27.7 euros / h, ie over 3.5 times higher. So in terms of salary, Romanians are at 28% of the European average. Instead, the productivity of Romanian employees is 69% of the European average. It is clear that Romanian employees are much lower paid compared to productivity, and Romania continues to be the country with the second cheapest labor force in Europe. "" ",big,Social,yes
131, Victor Negrescu,"„Peste 1 milion de angajați români au fost afectați de criza coronavirus. Mulți dintre aceștia (peste 400.000 pe datele de la sfârșitul lunii mai) și-au pierdut locul de muncă, iar alții (aproape 600.000) au avut și au în continuare contractele de muncă suspendate. Rata șomajului este în creștere.”", DECLARAȚII Munca,Adevărat,0,"""Over 1 million Romanian employees have been affected by the coronavirus crisis. Many of them (over 400,000 at the end of May) lost their jobs, and others (almost 600,000) had and still have their employment contracts suspended. The unemployment rate is rising. "" ",big,Social,yes
133, Roxana Natalia Pațurcă,"„Doar în guvernarea Boc a mai avut România atâția șomeri. INS a confirmat cele mai negre scenarii privind situația locurilor de muncă. România a ajuns la o rată a șomajului de 5,2%, atât cât se înregistra și în guvernarea de tristă amintire a lui Emil Boc.”", DECLARAȚII Munca,Trunchiat,2,"""Only in the Boc government did Romania have so many unemployed people. The INS confirmed the darkest scenarios regarding the employment situation. Romania has reached an unemployment rate of 5.2%, as much as it was registered in the government of sad memory of Emil Boc. "" ",big,Social,yes
134, Marcel Ciolacu,"„Susțin impozitarea marilor averi, nu a muncii! Sper că e clar și pentru cei din PNL care încearcă să deturneze în mod populist această temă. Le reamintesc că PSD a redus impozitul pe venitul din muncă de la 16% la 10%, iar atunci PNL s-a opus! În viziunea noastră, munca trebuie încurajată, nu supra-impozitată.""", DECLARAȚII Munca,Adevărat,0,"""I support the taxation of large fortunes, not labor! I hope it is clear for those in the PNL who are trying to populistly divert this issue. I remind them that PSD reduced the income tax from 16% to 10%, and then PNL opposed it! In our view, work should be encouraged, not over-taxed. "" ",big,Social,yes
169, Cristina Iurișniți,"„Sintagma «educație sexuală» de care s-au împiedicat foarte mulți exista din 2004. Ce am propus în Legea 45, care a fost modificată prin acest articol, a fost doar o precizare clară: cel puțin două sesiuni de informare pentru copiii noștri.”", DECLARAȚII Educatie,Adevărat,0,"""The phrase 'sex education', which many have hindered, has existed since 2004. What I proposed in Law 45, which was amended by this article, was just a clear statement: at least two information sessions for our children. ” ",big,Social,yes
