,source,text,type,category,label,English,text_size,subject,contains_name
0, Ludovic Orban,"„În ceea ce privește rata șomajului, din nou vă indic să vă informați din surse oficiale; rata șomajului în Europa este de 7,5%, în timp ce rata şomajului în România, care este în scădere, după datele statistice prezentate, este de 5,2%.”", DECLARAȚII Munca,Adevărat,0,"""Regarding the unemployment rate, again I suggest you to be informed from official sources; the unemployment rate in Europe is 7.5%, while the unemployment rate in Romania, which is declining, according to the statistical data presented, is 5.2%. ” ",big,Social,no
2, Florin Câțu,„Rata inflației a crescut de la 0% (da asta era rata inflației când a acaparat România gașca lui Dragnea) la 5.41%. A fost cea mai mare rată a inflației din UE aproape 3 ani la rând.”, DECLARAȚII Economie,Parțial Adevărat,1,"""The inflation rate increased from 0% (yes that was the inflation rate when Romania took over Dragnea's gang) to 5.41%. It was the highest inflation rate in the EU for almost 3 years in a row. "" ",big,Economie,no
9, Mihaela Huncă,"„Performanţă de invidiat pentru Ministerul Muncii care printr-un ordin sec a reuşit să mărească valoarea tichetelor de masă. Majorarea este de domeniul ridicolului: un ban. Astfel, din luna octombrie, valoarea unui tichet de masă creşte de la 20 de lei la 20,01 lei.”", DECLARAȚII Social,Trunchiat,2,"""An enviable performance for the Ministry of Labor, which through a dry order managed to increase the value of meal vouchers. The increase is in the realm of ridicule: a penny. Thus, from October, the value of a meal ticket increases from 20 lei to 20.01 lei. ” ",big,Economie,yes
10, Cristian Seidler,"„Pensiile speciale pentru aleșii locali – toți primarii, viceprimarii, președinții și vicepreședinții de consilii județene din 1992 până la sfârșitul lumii – au fost introduse prin Codul Administrativ de Guvernul Dăncilă care l-a adoptat prin Ordonanță de Urgență. Avocatul Poporului nu a atacat la CCR articolul referitor la aceste pensii speciale, așa cum i-a solicitat USR, deși CCR s-a exprimat anterior pe texte identice decizând că sunt neconstituționale.”", DECLARAȚII Electoral,Adevărat,0,"""Special pensions for local elected officials - all mayors, deputy mayors, presidents and vice presidents of county councils from 1992 to the end of the world - were introduced by the Administrative Code of the Dăncilă Government which adopted it by Emergency Ordinance. The People's Advocate did not attack at CCR the article regarding these special pensions, as requested by USR, although CCR previously expressed itself on identical texts deciding that they are unconstitutional. "" ",big,Politica,yes
11, Florin Câțu,"„PSD minte şi manipulează. Este şi o doză de prostie acolo. PSD ştie foarte bine că Legea finanţelor publice a fost modificată, chiar de PSD, în 2012, şi spune foarte clar că bugetul este prezentat, în an electoral, la 15 zile după învestirea noului Guvern. Liderul PSD Marcel Ciolacu ştie foarte bine acest lucru, întrucât a votat cu mâna lui modificările legislative.”", DECLARAȚII Finante,Adevărat,0,"""PSD lies and manipulates. There's also a dose of stupidity there. PSD knows very well that the Public Finance Law was amended, even by PSD, in 2012, and says very clearly that the budget is presented, in the election year, 15 days after the inauguration of the new Government. PSD leader Marcel Ciolacu knows this very well, as he voted with his hand for legislative changes. "" ",big,Economie,yes
14, Klaus Iohannis,"„Nu există o definiție universal valabilă sau european valabilă pentru starea de urgență. Ceea ce declară alte state din zona noastră sau, mă rog, din Spania este mai degrabă similar cu ce se numește la noi starea de alertă. Starea de alertă permite instituirea cam a tuturor restricțiilor și măsurilor care sunt necesare pentru a gestiona o astfel de pandemie.”", DECLARAȚII Coronavirus,Adevărat,0,"""There is no universally valid or European definition of a state of emergency. What other states in our area or, well, in Spain say, is rather similar to what we call the state of alert. The state of alert allows the establishment of almost all the restrictions and measures that are necessary to manage such a pandemic. "" ",big,Coronavirus,yes
15, Aurelian Bădulescu,"„Nu există un studiu care să certifice, fără echivoc, faptul că restaurantele pot duce la răspândirea virusului mai mult decât alte activități, ci din contra, conform celor mai noi statistici referitoare la incidența cazurilor de COVID pe domenii, industria HORECA se află pe ULTIMUL LOC.”", DECLARAȚII Coronavirus,Trunchiat,2,"""There is no study that unequivocally certifies that restaurants can spread the virus more than other activities, but on the contrary, according to the latest statistics on the incidence of COVID cases by field, the HORECA industry is on the LAST PLACE."" ",big,Coronavirus,yes
17, Raluca Turcan,"„În primele nouă luni din 2020 am reuşit să atragem 2,2 miliarde de euro şi avem proiecte semnate pentru încă 3,2 miliarde de euro. Ca o comparaţie între ce a fost şi ce există în momentul de faţă în România, în guvernarea PSD, anul trecut, 1 miliard de euro atraşi. Avem cea mai mare rată de absorbție a fondurilor europene de la momentul integrării în Uniunea Europeană.”", DECLARAȚII Finante,Fals,3,"""In the first nine months of 2020, we managed to attract 2.2 billion euros and we have signed projects for another 3.2 billion euros. As a comparison between what was and what currently exists in Romania, in the PSD government, last year, 1 billion euros attracted. We have the highest rate of absorption of European funds since integration into the European Union. "" ",big,Economie,yes
18, Ștefan Radu Oprea,"„Nu sunt bani! Cea mai mare minciună spusă de Orban/Cîțu și gașca lor toxică. Au mutat 6,8 miliarde de la bugetul asigurărilor sociale la pușculița de partid, adică în fondul de rezervă și capitolul acțiuni generale de la Ministerul Finanțelor. Adică au luat banii pensionarilor!!!”", DECLARAȚII Finante,Trunchiat,2,"""There are no money! The biggest lie told by Orban / Cîțu and their toxic gang. They moved 6.8 billion from the social insurance budget to the party piggy bank, ie in the reserve fund and the general actions chapter from the Ministry of Finance. I mean, they took the pensioners' money !!! ” ",big,Economie,yes
19, Mihai Tudose,"„Datele centralizate pentru 2017 de Comisia Europeană indicau penuria de medici și asistente medicale: aveam 2,9 medici la mia de locuitori, a treia cea mai mică cifră din UE (media UE era de 3,6 medici) și 6,7 asistente/1.000 locuitori (sub media UE de 8,5).”", DECLARAȚII Sanatate,Adevărat,0,"""Centralized data for 2017 by the European Commission indicated the shortage of doctors and nurses: we had 2.9 doctors per thousand inhabitants, the third lowest figure in the EU (EU average was 3.6 doctors) and 6.7 nurses / 1,000 inhabitants (below the EU average of 8.5). ” ",big,SanatateMediu,yes
