,source,text,type,category,label,English,text_size,subject,contains_name
1, Ludovic Orban,"„Gândiţi-vă că în 6 ani cât a fost PSD, pe niciun proiect mare de investiții Comisia Europeană nu a aprobat finanțarea.”", DECLARAȚII Electoral,Fals,3,"""Think that in the 6 years that PSD has been, the European Commission has not approved the financing of any large investment project."" ",small,Politica,yes
3, Victor Ponta,"„La alegerile locale 700.000 de români s-au dus la vot, au pus ștampila și votul lor a fost anulat. Atenție, mai multe sunt anulate decat s-a votat în tot Bucureștiul.”", DECLARAȚII Electoral,Fals,3,"""In the local elections, 700,000 Romanians went to the polls, put the stamp and their vote was canceled. Attention, more are canceled than voted in all of Bucharest. "" ",small,Politica,no
4, Marcel Ciolacu,"„[...] din cazurile trimise la DNA în instanţă, 90% sunt achitări”", DECLARAȚII Justitie,Fals,3,"""[...] of the cases sent to DNA in court, 90% are acquittals"" ",small,Justitie,yes
5, Marcel Ciolacu,"„20 de ani din cei 30 de democrație românească, Ministerul Sănătății a fost condus de către miniștri ai Partidului Național Liberal”", DECLARAȚII Sanatate,Fals,3,"""20 years out of the 30 Romanian democracies, the Ministry of Health was led by ministers of the National Liberal Party"" ",small,SanatateMediu,yes
6, Vlad Voiculescu,"„luna trecută [stimulentele financiare pentru persoane cu handicap] au venit mai devreme, pe 23 ale lunii. Pe 27 erau alegeri, deh.”", DECLARAȚII Social,Adevărat,0,"""Last month [financial incentives for people with disabilities] came earlier, on the 23rd of the month. There were elections on the 27th, eh. ” ",small,Economie,yes
7, Gabriela Firea,"„(...)în Europa, doar România și Lituania țin școlile închise.”", DECLARAȚII Coronavirus,Fals,3,"""(...) in Europe, only Romania and Lithuania keep their schools closed."" ",small,Coronavirus,no
8, Mihaela Huncă,„1.200 de angajaţi pe posturi didactice auxiliare şi nedidactice au fost daţi afară în ianuarie.”, DECLARAȚII Coronavirus,Adevărat,0,"""1,200 employees in auxiliary and non-teaching positions were laid off in January."" ",small,Coronavirus,no
12, Klaus Iohannis,„Testarea în masă nu este recomandată decât de persoane care vor să pară interesante”, DECLARAȚII Coronavirus,Parțial Adevărat,1,"""Mass testing is only recommended by people who want to look interesting"" ",small,Coronavirus,yes
13, Ludovic Orban,„România este cea mai bine pregătită ţară europeană de pe lista ţărilor europene care sunt în curs de aderare la OECD”, DECLARAȚII Coronavirus,Parțial Adevărat,1,"""Romania is the best prepared European country on the list of European countries that are in the process of joining the OECD"" ",small,Coronavirus,yes
16, Gabriela Firea,„Avem în premieră 65.000 de voturi nule în Capitală. Aproape 10% din voturile exprimate. Să înţelegem că oamenii nu ştiu să voteze sau mâzgălesc buletinele de vot?”, DECLARAȚII Electoral,Fals,3,"""We have for the first time 65,000 null votes in the Capital. Almost 10% of the votes cast. Do we understand that people do not know how to vote or scribble ballots? ” ",small,Politica,yes
