,source,location,text,detective,category,label
0,Roger Polack,"stated on October 28, 2020 in Twitter:",More people in Kenosha County died from COVID-19 on Oct. 27 than in all of Germany,"By Madeline Heim • November 10, 2020",false,3
1,Facebook posts,"stated on November 2, 2020 in a Facebook post:",Pennsylvania officials are “attempting to silence voters” by sending them letters that say they’ve been exposed to COVID-19 and “must remain quarantined and not vote in person on Election Day.”,"By Ciara O'Rourke • November 2, 2020",barely-true,2
2,Tweets,"stated on November 1, 2020 in a tweet:",Photo shows Joe Biden “doesn’t wear a mask on a plane.”,"By Ciara O'Rourke • November 2, 2020",false,3
3,Donald Trump,"stated on October 30, 2020 in a campaign rally in Waterford, Mich.:","“Our doctors get more money if somebody dies from COVID. … So what they do is they say, ‘I'm sorry, but, you know, everybody dies of COVID.’""","By Jon Greenberg • November 1, 2020",false,3
4,Viral image,"stated on October 30, 2020 in a Facebook post:",“COVID ends next Wednesday.”,"By Ciara O'Rourke • October 31, 2020",false,3
5,Raphael Warnock,"stated on October 28, 2020 in an interview:","When Sen. Kelly Loeffler heard about the COVID-19 risk, she “focused on her own portfolio” and ""profited from the pandemic.""","By Tom Kertscher • October 31, 2020",half-true,1
6,Donald Trump Jr.,"stated on October 29, 2020 in a Fox News appearance:",The number of coronavirus deaths is “almost nothing.”,"By Bill McCarthy • October 30, 2020",pants-fire,3
7,Roy Cooper,"stated on October 14, 2020 in a debate:","Says Dan Forest has “missed almost half of the Board of Education meetings during the pandemic.""","By Paul Specht • October 30, 2020",true,0
8,Tom Brady,"stated on October 27, 2020 in an Instagram post:",“More suicide deaths than coronavirus death past two months.”,"By Jon Greenberg • October 27, 2020",false,3
9,Donald Trump,"stated on October 24, 2020 in Speech:",U.S. is “really not doing (COVID-19) reporting right” because deaths are being improperly counted and hospitals have an “incentive” to pad stats.,"By Eric Litke • October 27, 2020",false,3
10,Facebook posts,"stated on October 22, 2020 in a Facebook post:","""World renowned experts"" declare that we should “live normally, practice simple hygiene,” stay home when sick and use protective measures only with “the most vulnerable populations.”","By Samantha Putterman • October 27, 2020",half-true,1
11,Sri Preston Kulkarni,"stated on October 23, 2020 in an ad:","Says Troy Nehls “called wearing masks 'un-American' and called those who do 'communists.'""","By Tom Kertscher • October 27, 2020",false,3
12,Scott Perry,"stated on October 17, 2020 in an interview:","The coronavirus ""was constructed in the Wuhan Institute of Virology.”","By Tom Kertscher • October 26, 2020",false,3
13,Ron Johnson,"stated on October 21, 2020 in a presentation:","""Generally the deaths are still pretty flat because we've flattened the curve.”","By Haley BeMiller • October 23, 2020",barely-true,2
14,Vicky Hartzler,"stated on September 2, 2020 in an interview with FM 93.9 “The Eagle”:","“We're starting to reach almost herd immunity in this nation, so we'll be on the downside of this virus very soon.""","By Benjamin Brink • October 23, 2020",false,3
15,Donald Trump,"stated on October 22, 2020 in a debate:",Michigan has been “like a prison” during the coronavirus.,"By Clara Hendrickson • October 23, 2020",false,3
16,Donald Trump,"stated on October 22, 2020 in the final presidential debate:","“When I closed (travel from China) he said I should not have closed. ...He said this is a terrible thing, you are a xenophobe, I think he called me racist. Now he says I should have closed it earlier.”","By Samantha Putterman • October 23, 2020",barely-true,2
17,Donald Trump,"stated on October 22, 2020 in a presidential debate:","""We are rounding the turn (on coronavirus). We are rounding the corner.""","By Louis Jacobson • October 23, 2020",false,3
18,Donald Trump,"stated on October 20, 2020 in a rally:",Pennsylvania “never opened.”,"By Jessica Calefati • October 22, 2020",false,3
19,Facebook posts,"stated on October 19, 2020 in a Facebook post:",Says Dr. Anthony Fauci wrote a paper blaming 1918-19 flu deaths on masks.,"By Samantha Putterman • October 21, 2020",false,3
20,Donald Trump,"stated on October 15, 2020 in a town hall on NBC News:",“We saved 2 million people” from dying of COVID-19.,"By Victoria Knight • October 21, 2020",barely-true,2
21,Mike Pence,"stated on October 11, 2020 in a news release:","Says since he and President Trump took office, their policies ""led to an unemployment rate of 3.1% in Wisconsin and 61,000 Wisconsin jobs, including 15,000 manufacturing jobs.""","By Nusaiba Mizan • October 20, 2020",false,3
22,Facebook posts,"stated on May 20, 2020 in a Facebook post:","Says Anthony Fauci was indicted “for crimes including treason, conspiring with the enemy and fraud.”","By Ciara O'Rourke • October 19, 2020",pants-fire,3
23,Vicente Gonzalez,"stated on October 5, 2020 in a speech:","Says the “The Rio Grande Valley is 4.7% of the entire state population, but it represents 17% of the (coronavirus) deaths of our state.""","By Brandon Mulder • October 16, 2020",true,0
24,Andrew Cuomo,"stated on September 30, 2020 in a press call:","""We're No. 46 out of 50 states... we're 46th in terms of percentage of deaths in nursing homes.""","By Jill Terreri Ramos • October 16, 2020",barely-true,2
25,Viral image,"stated on October 12, 2020 in a Facebook post:","CNN reported, “Due to COVID-19, President Donald Trump passes away at 74.”","By Ciara O'Rourke • October 16, 2020",pants-fire,3
26,Tucker Carlson,"stated on October 13, 2020 in a TV segment:","According to a recent CDC report, ""almost everyone — 85% — who got the coronavirus in July was wearing a mask, and they were infected anyway. So clearly (wearing a mask) doesn’t work the way they tell us it works.”","By Bill McCarthy • October 15, 2020",false,3
27,Roy Cooper,"stated on October 14, 2020 in a debate:","Georgia has “almost 100,000 more (COVID-19) cases, almost twice as many deaths and almost 600 more nursing home deaths than North Carolina.”","By Paul Specht • October 15, 2020",true,0
28,Donald Trump,"stated on October 12, 2020 in a tweet.:",“The World Health Organization just admitted that I was right. Lockdowns are killing countries all over the world. The cure cannot be worse than the problem itself.”,"By Victoria Knight • October 15, 2020",false,3
29,Chris Kapenga,"stated on October 11, 2020 in TV interview:","In May, Wisconsin had its own test of mask effectiveness, when ""we went from masks, to no masks, and there (was) no significant difference in cases.""","By Laura Schulte • October 15, 2020",false,3
30,John Cornyn,"stated on October 14, 2020 in a tweet:",Says Democratic senators were missing “masks” as they huddled close together at the Judiciary Committee hearing for Amy Coney Barrett.,"By Samantha Putterman • October 14, 2020",false,3
31,Van Wanggaard,"stated on October 7, 2020 in Video interview:","No one under 20 has died of COVID-19, and ""it has not actually been determined yet"" that anyone under 20 can spread it to an older person","By Madeline Heim • October 14, 2020",barely-true,2
